date,close,volume,open,high,low,change,year,nChange
2013-01-02,35.36,1194710.0000,35.0,35.4499,34.705,0.01028571428571427,2013,0.5161554291647401
2013-01-03,34.77,741941.0000,35.18,35.45,34.75,-0.01165434906196693,2013,0.43897560557900295
2013-01-04,34.4,673993.0000,34.8,34.8,33.92,-0.011494252873563178,2013,0.4395387851551939
2013-01-07,34.34,441909.0000,34.8,34.8,33.9,-0.013218390804597522,2013,0.43347368592343744
2013-01-08,33.68,1283743.0000,34.5,34.5,33.11,-0.023768115942028992,2013,0.39636231062419375
2013-01-09,33.64,697979.0000,34.01,34.19,33.4,-0.01087915319023809,2013,0.4417025567129315
2013-01-10,33.53,922405.0000,33.87,33.99,33.38,-0.010038382049010816,2013,0.4446601857465212
2013-01-11,32.91,1562974.0000,34.04,34.04,32.11,-0.03319623971797892,2013,0.36319645698734837
2013-01-14,33.26,925018.0000,33.08,33.38,32.85,0.005441354292623934,2013,0.4991141452027214
2013-01-15,33.9,1623845.0000,33.11,34.25,33.08,0.02385986106916337,2013,0.5639059865570109
2013-01-16,34.1,1378138.0000,33.85,34.23,33.73,0.007385524372230428,2013,0.5059532641873326
2013-01-17,34.38,1436604.0000,34.16,34.85,33.92,0.00644028103044514,2013,0.5026281272810031
2013-01-18,34.52,3555074.0000,34.74,34.78,33.82,-0.0063327576280943826,2013,0.4576956740470396
2013-01-22,35.19,1920131.0000,34.56,35.55,34.26,0.018229166666666533,2013,0.5440985687860027
2013-01-23,36.0,1563452.0000,35.02,36.24,34.96,0.027984009137635546,2013,0.5784137395804214
2013-01-24,36.99,1970389.0000,36.0,37.72,35.84,0.027500000000000056,2013,0.5767111127800963
2013-01-25,36.98,1287703.0000,37.0,37.54,36.8,-0.000540540540540625,2013,0.4780712894636167
2013-01-28,38.03,1985892.0000,36.86,38.71,36.86,0.031741725447639764,2013,0.5916324745173023
2013-01-29,37.95,1426503.0000,38.1,38.44,37.13,-0.003937007874015711,2013,0.4661233408429473
2013-01-30,37.52,968098.0000,37.85,38.0,37.43,-0.008718626155878421,2013,0.44930276700957666
2013-01-31,37.51,901318.0000,37.87,37.87,36.93,-0.009506205439661988,2013,0.44653225403434316
2013-02-01,38.3,1100390.0000,38.17,38.5,37.62,0.0034058160859312403,2013,0.49195361529881965
2013-02-04,37.74,1127989.0000,38.4,38.42,37.59,-0.01718749999999991,2013,0.4195113220669967
2013-02-05,38.13,1310192.0000,38.0,38.65,37.68,0.0034210526315790147,2013,0.4920072137723754
2013-02-06,39.17,1892848.0000,38.18,39.39,37.9045,0.025929806181246778,2013,0.5711875516122749
2013-02-07,39.48,1196521.0000,39.19,39.68,38.95,0.007399846899719295,2013,0.5060036473666049
2013-02-08,39.24,1139533.0000,39.45,40.0,39.14,-0.0053231939163498315,2013,0.4612470744206963
2013-02-11,38.42,3265648.0000,37.98,39.15,37.5,0.011585044760400339,2013,0.520726158757754
2013-02-12,37.89,2260409.0000,38.45,38.87,37.29,-0.014564369310793296,2013,0.4287388598651816
2013-02-13,38.45,966802.0000,38.3,39.0,38.05,0.003916449086162029,2013,0.49374989839291716
2013-02-14,38.3,990640.0000,38.64,38.75,38.21,-0.008799171842650192,2013,0.44901942681145945
2013-02-15,37.04,2017449.0000,38.5,38.51,36.95,-0.03792207792207795,2013,0.346572103943917
2013-02-19,39.28,2700540.0000,37.36,39.29,37.31,0.05139186295503217,2013,0.6607568941793044
2013-02-20,38.54,3078371.0000,39.3,39.65,38.46,-0.019338422391857457,2013,0.41194489857407085
2013-02-21,35.16,9035810.0000,36.49,37.39,34.54,-0.03644834201151015,2013,0.35175634957653545
2013-02-22,36.11,2545223.0000,35.72,36.39,35.6,0.010918253079507296,2013,0.5183805472850688
2013-02-25,34.38,2889237.0000,36.15,36.75,34.34,-0.04896265560165964,2013,0.30773402840641856
2013-02-26,34.43,2762900.0000,34.46,34.96,33.8,-0.0008705745792223197,2013,0.47691030973082876
2013-02-27,35.1,1959129.0000,34.41,35.41,34.4,0.020052310374891164,2013,0.5505119463384014
2013-02-28,34.83,1964893.0000,35.89,36.1,34.37,-0.029534689328503824,2013,0.37607690353081025
2013-03-01,34.65,1546400.0000,35.0,35.08,34.25,-0.01000000000000004,2013,0.444795204489383
2013-03-04,35.58,1757660.0000,34.77,35.83,34.7,0.023295944779982602,2013,0.5619222657706852
2013-03-05,36.65,2086969.0000,36.0,36.92,35.79,0.018055555555555516,2013,0.5434878469883608
2013-03-06,37.69,1149925.0000,37.01,37.88,36.97,0.018373412591191563,2013,0.5446059909766948
2013-03-07,38.23,1158254.0000,37.73,38.65,36.88,0.0132520540683806,2013,0.5265902933441883
2013-03-08,38.47,912052.0000,38.06,39.44,37.36,0.010772464529689873,2013,0.5178676985126007
2013-03-11,39.1,1579440.0000,38.87,39.44,38.65,0.0059171597633137125,2013,0.5007879134916743
2013-03-12,39.12,1274426.0000,38.9,39.38,38.85,0.005655526992287889,2013,0.4998675528349146
2013-03-13,38.98,821986.0000,39.0,39.49,38.81,-0.0005128205128205929,2013,0.47816880180053756
2013-03-14,36.85,2020811.0000,38.9,38.91,36.77,-0.05269922879177371,2013,0.2945896698392552
2013-03-15,35.29,3279577.0000,36.64,36.65,35.21,-0.0368449781659389,2013,0.350361079747938
2013-03-18,35.15,1316036.0000,35.3,36.06,34.92,-0.004249291784702509,2013,0.4650248017570053
2013-03-19,35.08,1083765.0000,35.25,35.6,34.94,-0.004822695035461041,2013,0.4630077081399211
2013-03-20,35.95,1422984.0000,35.26,36.07,35.16,0.019568916619398892,2013,0.5488114843032594
2013-03-21,36.01,1146287.0000,35.95,37.06,35.74,0.00166898470097344,2013,0.4858438635736323
2013-03-22,36.62,442535.0000,36.2,36.8,36.2,0.01160220994475123,2013,0.5207865417146773
2013-03-25,37.53,2375218.0000,37.1,38.52,36.77,0.011590296495956866,2013,0.5207446330901817
2013-03-26,37.86,1805587.0000,37.98,38.22,37.66,-0.003159557661927263,2013,0.4688582221997061
2013-03-27,38.16,1296283.0000,37.94,38.38,37.31,0.005798629414865548,2013,0.5003709524629929
2013-03-28,37.89,1158652.0000,38.23,38.24,37.75,-0.0088935391054145,2013,0.44868746565998047
2013-04-01,43.93,14088400.0000,42.36,46.68,41.7,0.03706326723323891,2013,0.6103523683347502
