date,close,volume,open,high,low,change
2010-06-30,23.83,17165210.0000,25.79,30.4192,23.3,-0.251151109250742
2010-07-01,21.96,8216789.0000,25.0,25.92,20.27,-7.847251363827098
2010-07-02,19.2,5135795.0000,23.0,23.1,18.71,-12.568306010928968
2010-07-06,16.11,6858092.0000,20.0,20.0,15.83,-16.09375
2010-07-07,15.8,6910699.0000,16.4,16.63,14.98,-1.9242706393544302
2010-07-08,17.46,7710937.0000,16.14,17.52,15.57,10.506329113924052
2010-07-09,17.4,4048537.0000,17.58,17.9,16.55,-0.3436426116838618
2010-07-12,17.05,2198870.0000,17.95,18.07,17.0,-2.011494252873551
2010-07-13,18.14,2675060.0000,17.394,18.64,16.9,6.392961876832843
2010-07-14,19.84,4193210.0000,17.94,20.15,17.7601,9.371554575523701
2010-07-15,19.89,3741526.0000,19.94,21.5,19.0,0.25201612903226167
2010-07-16,20.64,2620110.0000,20.7,21.3,20.05,3.770739064856712
2010-07-19,21.91,2482680.0000,21.37,22.25,20.92,6.1531007751937965
2010-07-20,20.3,1824154.0000,21.85,21.85,20.05,-7.348242811501595
2010-07-21,20.22,1251492.0000,20.66,20.9,19.5,-0.394088669950748
2010-07-22,21.0,957271.0000,20.5,21.25,20.37,3.8575667655786408
2010-07-23,21.29,653549.0000,21.19,21.56,21.06,1.3809523809523767
2010-07-26,20.95,922178.0000,21.5,21.5,20.3,-1.5969938938468757
2010-07-27,20.55,619675.0000,20.91,21.18,20.26,-1.9093078758949813
2010-07-28,20.72,467183.0000,20.55,20.9,20.51,0.827250608272497
2010-07-29,20.35,615910.0000,20.77,20.88,20.0,-1.7857142857142734
2010-07-30,19.94,426830.0000,20.2,20.44,19.55,-2.014742014742015
2010-08-02,20.92,718245.0000,20.5,20.97,20.333,4.914744232698096
2010-08-03,21.95,1230349.0000,21.0,21.95,20.82,4.923518164435935
2010-08-04,21.26,912526.0000,21.95,22.18,20.85,-3.1435079726651374
2010-08-05,20.45,796180.0000,21.54,21.55,20.05,-3.8099717779868403
2010-08-06,19.59,741838.0000,20.1,20.1601,19.52,-4.205378973105132
2010-08-09,19.6,812656.0000,19.9,19.98,19.45,0.05104645227157511
2010-08-10,19.03,1281286.0000,19.65,19.65,18.82,-2.908163265306124
2010-08-11,17.9,795712.0000,18.69,18.88,17.85,-5.937992643194969
2010-08-12,17.6,690241.0000,17.8,17.9,17.39,-1.6759776536312692
2010-08-13,18.32,633871.0000,18.18,18.45,17.6604,4.090909090909084
2010-08-16,18.78,485711.0000,18.45,18.8,18.2616,2.5109170305676902
2010-08-17,19.15,447881.0000,18.96,19.4,18.78,1.970181043663458
2010-08-18,18.77,599732.0000,19.59,19.59,18.6,-1.9843342036553475
2010-08-19,18.79,579082.0000,18.54,19.25,18.33,0.1065530101225337
2010-08-20,19.1,295599.0000,18.65,19.11,18.5101,1.6498137307078355
2010-08-23,20.13,1088029.0000,19.09,20.3891,19.0,5.39267015706805
2010-08-24,19.2,672974.0000,19.25,19.71,18.95,-4.619970193740684
2010-08-25,19.9,503289.0000,19.16,19.98,18.56,3.64583333333333
2010-08-26,19.75,433286.0000,19.89,20.27,19.6,-0.7537688442210985
2010-08-27,19.7,379542.0000,19.75,19.865,19.5,-0.25316455696202894
2010-08-30,19.87,732631.0000,19.7,20.19,19.61,0.8629441624365569
2010-08-31,19.48,201012.0000,19.66,19.79,19.33,-1.9627579265223984
2010-09-01,20.45,494885.0000,19.62,20.69,19.6,4.979466119096503
2010-09-02,21.06,487060.0000,20.37,21.24,20.3103,2.982885085574569
2010-09-03,21.05,434556.0000,20.87,21.3,20.66,-0.0474833808167047
2010-09-07,20.54,243335.0000,20.61,21.0,20.5,-2.422802850356302
2010-09-08,20.9,288382.0000,20.66,20.95,20.6,1.752677702044788
2010-09-09,20.71,376197.0000,21.0,21.05,20.69,-0.9090909090908983
2010-09-10,20.17,386571.0000,20.75,20.93,19.76,-2.607436021245771
2010-09-13,20.72,360703.0000,20.89,20.8995,20.5,2.726822012890417
2010-09-14,21.12,654629.0000,20.54,21.6,20.53,1.9305019305019409
2010-09-15,21.98,684558.0000,20.98,22.0,20.79,4.071969696969694
2010-09-16,20.94,2684080.0000,22.15,23.16,20.84,-4.7315741583257465
2010-09-17,20.23,1198458.0000,21.02,21.32,19.8,-3.390639923591217
2010-09-20,21.055,947475.0000,20.67,21.35,20.16,4.078101828966877
2010-09-21,20.77,796000.0000,20.89,21.55,20.67,-1.3535977202564717
2010-09-22,19.87,962816.0000,20.87,20.95,19.8,-4.333172845450162
2010-09-23,19.56,668076.0000,19.89,20.14,19.5,-1.5601409159537105
2010-09-24,20.1,578887.0000,19.95,20.19,19.65,2.760736196319032
2010-09-27,20.53,416297.0000,20.4,20.81,20.05,2.139303482587063
2010-09-28,21.4,1214465.0000,21.04,21.49,20.76,4.237700925474902
2010-09-29,21.98,1969097.0000,21.19,22.03,21.13,2.7102803738317847
2010-09-30,20.405,2077537.0000,22.0,22.1499,20.19,-7.165605095541398
2010-10-01,20.6,597641.0000,20.69,20.75,20.31,0.9556481254594476
2010-10-04,20.99,643599.0000,20.43,21.17,20.3,1.893203883495131
2010-10-05,21.12,331936.0000,21.15,21.28,21.01,0.6193425440686163
2010-10-06,20.46,313357.0000,21.06,21.258,20.32,-3.125000000000001
2010-10-07,20.43,140920.0000,20.57,20.64,20.34,-0.14662756598241025
2010-10-08,20.43,266399.0000,20.43,20.79,20.39,0.0
2010-10-11,20.24,170994.0000,20.44,20.699,20.07,-0.9300048947626103
2010-10-12,20.24,243912.0000,20.2,20.2829,20.03,0.0
2010-10-13,20.54,315259.0000,20.64,20.85,20.36,1.4822134387351815
2010-10-14,20.75,294620.0000,21.0,21.0299,20.4,1.0223953261927987
2010-10-15,20.54,284645.0000,20.89,20.9,20.25,-1.0120481927710885
2010-10-18,20.23,162729.0000,20.52,20.6399,20.22,-1.5092502434274524
2010-10-19,20.05,245127.0000,20.2,20.4061,20.0,-0.8897676717745908
2010-10-20,20.65,312444.0000,20.16,20.69,20.04,2.9925187032418843
2010-10-21,20.75,416599.0000,20.61,20.95,20.45,0.48426150121066064
2010-10-22,20.72,161021.0000,20.68,20.93,20.55,-0.1445783132530175
2010-10-25,20.85,118414.0000,20.94,20.98,20.73,0.6274131274131398
2010-10-26,21.36,660841.0000,20.8,21.87,20.51,2.446043165467616
2010-10-27,21.0,356500.0000,21.25,21.38,20.65,-1.6853932584269637
2010-10-28,21.19,224190.0000,21.39,21.5,20.96,0.9047619047619108
2010-10-29,21.84,280532.0000,21.14,21.85,21.052,3.06748466257668
2010-11-01,21.41,455284.0000,21.94,22.75,21.31,-1.9688644688644674
2010-11-02,21.25,322465.0000,21.68,21.8792,21.05,-0.747314339093882
2010-11-03,21.77,372599.0000,21.28,22.5,21.16,2.4470588235294097
2010-11-04,24.9,1873358.0000,22.6,25.33,22.151,14.377583830960033
2010-11-05,24.44,1010946.0000,24.87,24.97,23.72,-1.847389558232921
2010-11-08,24.98,509375.0000,24.5,25.0,24.03,2.2094926350245463
2010-11-09,24.63,956249.0000,25.0,25.69,24.0501,-1.4011208967173794
2010-11-10,29.36,3060252.0000,24.48,29.97,24.05,19.204222492894846
2010-11-11,28.035,1944794.0000,28.6,29.1,27.33,-4.512942779291551
2010-11-12,29.84,2728160.0000,28.25,30.5,28.07,6.438380595683965
2010-11-15,30.8,2622898.0000,30.22,32.9395,30.22,3.2171581769437028
2010-11-16,29.67,1347531.0000,31.0,31.4,28.42,-3.668831168831165
2010-11-17,29.49,749941.0000,30.2,30.75,28.61,-0.6066734074823164
2010-11-18,29.89,956048.0000,30.67,30.74,28.9201,1.3563919972872234
2010-11-19,30.99,1150260.0000,30.16,31.37,29.7,3.680160588825687
2010-11-22,33.4,1529522.0000,31.57,33.45,31.5,7.776702161987739
2010-11-23,34.57,1577770.0000,33.29,35.68,32.1901,3.502994011976053
2010-11-24,35.47,1424959.0000,35.27,35.97,34.334,2.6034133641885986
2010-11-26,35.32,350554.0000,35.6,36.0,34.75,-0.422892585283334
2010-11-29,34.33,1145543.0000,35.412,35.95,33.33,-2.802944507361274
2010-11-30,35.33,2222558.0000,33.74,35.33,33.41,2.912904165452957
2010-12-01,34.35,1298591.0000,35.87,36.42,33.45,-2.773846589300869
2010-12-02,32.35,2006827.0000,34.01,34.2975,31.2,-5.822416302765648
2010-12-03,31.49,1160060.0000,32.01,32.25,30.87,-2.6584234930448316
2010-12-06,30.31,1273875.0000,31.35,31.45,29.56,-3.74722134010797
2010-12-07,31.56,1310492.0000,30.49,32.4,30.05,4.124051468162323
2010-12-08,32.37,659980.0000,32.48,32.49,31.52,2.5665399239543687
2010-12-09,32.05,405983.0000,32.51,32.72,31.65,-0.9885696632684593
2010-12-10,31.52,429381.0000,32.05,32.92,31.1301,-1.6536661466458584
2010-12-13,30.55,410331.0000,31.64,31.77,30.4,-3.077411167512687
2010-12-14,28.53,1765385.0000,30.29,30.3899,27.761,-6.612111292962355
2010-12-15,29.6,742900.0000,28.67,29.97,28.53,3.7504381352961804
2010-12-16,30.81,789970.0000,30.0,30.91,29.6501,4.087837837837829
2010-12-17,31.36,811943.0000,31.34,31.54,30.71,1.785134696527104
2010-12-20,31.7,523320.0000,31.64,32.19,31.26,1.0841836734693875
2010-12-21,32.26,777678.0000,31.8,32.69,31.7101,1.7665615141955797
2010-12-22,32.63,833256.0000,32.25,32.86,31.7,1.1469311841289664
2010-12-23,30.09,1552425.0000,31.26,32.48,29.92,-7.784247624885082
2010-12-27,25.549,9301329.0000,28.02,28.58,25.06,-15.091392489199071
2010-12-28,26.41,4055705.0000,25.85,26.75,25.0,3.3699949117382313
2010-12-29,27.73,3319130.0000,27.03,28.01,26.5,4.998106777735707
2010-12-30,26.5,2040967.0000,27.7,27.9,26.38,-4.43562928236567
2010-12-31,26.63,1417687.0000,26.57,27.25,26.5,0.4905660377358453
2011-01-03,26.62,1282904.0000,26.84,26.9999,25.9,-0.037551633496049605
2011-01-04,26.67,1187371.0000,26.66,26.95,26.02,0.1878287002253971
2011-01-05,26.83,1446569.0000,26.48,26.9,26.19,0.5999250093738154
2011-01-06,27.88,2061117.0000,26.83,28.0,26.81,3.913529631010066
2011-01-07,28.24,2247340.0000,28.0,28.58,27.9,1.291248206599711
2011-01-10,28.45,1342612.0000,28.17,28.68,28.05,0.7436260623229493
2011-01-11,26.96,1704365.0000,28.59,28.71,26.92,-5.237258347978905
2011-01-12,26.96,964322.0000,27.01,27.399,26.52,0.0
2011-01-13,26.22,723422.0000,26.96,26.97,26.16,-2.7448071216617285
2011-01-14,25.75,1191921.0000,26.15,26.58,25.61,-1.7925247902364563
2011-01-18,25.64,1620171.0000,25.48,25.64,24.75,-0.42718446601941523
2011-01-19,24.03,2370414.0000,25.27,25.47,23.75,-6.2792511700468
2011-01-20,22.62,2279858.0000,24.03,24.45,22.37,-5.867665418227216
2011-01-21,23.04,1216671.0000,23.12,23.59,22.71,1.8567639257294346
2011-01-24,24.49,1644828.0000,23.53,24.81,23.23,6.293402777777775
2011-01-25,24.68,1271457.0000,24.65,24.89,24.02,0.7758268681094377
2011-01-26,24.75,1079867.0000,24.71,24.88,24.1,0.2836304700162086
2011-01-27,24.92,895655.0000,24.74,25.08,24.53,0.6868686868686937
2011-01-28,24.01,1048311.0000,24.88,24.88,23.75,-3.6516853932584277
2011-01-31,24.1,830214.0000,24.05,24.12,23.5,0.3748438150770506
2011-02-01,23.91,707791.0000,24.31,24.73,23.54,-0.7883817427385944
2011-02-02,23.94,569472.0000,24.16,24.18,23.669,0.12547051442911392
2011-02-03,23.63,509317.0000,23.82,23.9,23.15,-1.2949039264828832
2011-02-04,23.46,543917.0000,23.44,23.67,23.22,-0.7194244604316469
2011-02-07,23.07,895011.0000,23.26,23.26,22.88,-1.6624040920716134
2011-02-08,24.49,3504883.0000,23.78,25.25,23.0,6.155179887299515
2011-02-09,23.21,2635562.0000,24.13,24.18,22.79,-5.226623111474062
2011-02-10,23.215,836020.0000,23.26,23.64,22.81,0.021542438604045692
2011-02-11,23.25,634472.0000,23.25,23.75,22.94,0.15076459185871263
2011-02-14,23.08,1283004.0000,23.64,24.14,23.05,-0.7311827956989321
2011-02-15,22.84,944870.0000,23.01,23.17,22.56,-1.0398613518197506
2011-02-16,24.73,4112906.0000,23.1,24.97,23.0701,8.274956217162876
2011-02-17,23.6,2618154.0000,24.63,25.49,23.55,-4.569348968863724
2011-02-18,23.18,2370620.0000,23.33,23.49,22.96,-1.7796610169491596
2011-02-22,21.87,2064540.0000,22.88,23.0,21.78,-5.651423641069883
2011-02-23,21.83,1605508.0000,22.18,22.5,21.11,-0.18289894833105944
2011-02-24,22.53,1055250.0000,21.78,22.58,21.5,3.2065964269354237
2011-02-25,23.61,1346257.0000,22.81,23.85,22.69,4.793608521970698
2011-02-28,23.89,1051106.0000,23.74,24.1,23.5,1.185938161795854
2011-03-01,23.94,1106350.0000,24.05,24.32,23.7,0.20929259104228007
2011-03-02,24.02,663294.0000,23.82,24.28,23.725,0.3341687552213797
2011-03-03,24.36,640140.0000,24.48,24.79,24.06,1.4154870940882591
2011-03-04,24.95,1580100.0000,24.48,24.99,23.78,2.422003284072249
2011-03-07,24.94,2033431.0000,24.93,25.4,24.7,-0.04008016032063331
2011-03-08,24.66,1399851.0000,24.6,24.96,24.0,-1.1226944667201328
2011-03-09,24.72,924721.0000,24.66,24.99,24.27,0.24330900243308481
2011-03-10,24.01,1016947.0000,24.44,24.49,23.73,-2.872168284789633
2011-03-11,24.07,930794.0000,23.85,24.25,23.53,0.2498958767180288
2011-03-14,23.25,1165971.0000,23.82,24.0,23.2,-3.4067303697548823
2011-03-15,22.95,1318756.0000,22.2,22.96,21.8,-1.2903225806451644
2011-03-16,22.82,1158176.0000,22.86,23.25,22.69,-0.566448801742915
2011-03-17,22.81,922504.0000,23.24,23.43,22.64,-0.04382120946538809
2011-03-18,22.96,687823.0000,23.19,23.19,22.51,0.6576063130206143
2011-03-21,22.73,411650.0000,23.05,23.05,22.54,-1.0017421602787475
2011-03-22,22.19,582813.0000,22.73,22.86,22.0,-2.375714914210291
2011-03-23,22.21,422793.0000,22.11,22.27,21.77,0.09013068949977275
2011-03-24,22.33,462160.0000,22.14,22.38,21.98,0.5402971634398803
2011-03-25,22.75,567922.0000,22.43,23.0,22.4,1.8808777429467163
2011-03-28,23.25,1058018.0000,22.7,23.5388,22.55,2.197802197802198
2011-03-29,23.92,755391.0000,23.3,24.0,23.21,2.881720430107534
2011-03-30,23.71,1223277.0000,24.11,24.49,23.01,-0.8779264214046858
2011-03-31,27.75,11514590.0000,26.55,28.71,26.5,17.03922395613665
2011-04-01,26.66,2864787.0000,27.45,28.18,26.57,-3.9279279279279273
2011-04-04,25.83,2609227.0000,26.83,27.0,25.23,-3.113278319579902
2011-04-05,26.7,3180827.0000,25.9,27.0,25.69,3.3681765389082505
2011-04-06,26.49,1288297.0000,26.99,27.01,25.8,-0.7865168539325874
2011-04-07,27.24,2809116.0000,26.85,27.94,26.4501,2.831257078142696
2011-04-08,26.49,1946252.0000,27.58,27.6004,26.36,-2.7533039647577096
2011-04-11,25.27,1369150.0000,26.47,26.53,25.02,-4.60551151377878
