player,season,team,wickets,bowl_econ,bowl_sr
Chahar,2018,Chennai Super Kings,10.0,7.28,22.9
Harbhajan,2018,Chennai Super Kings,7.0,8.48,27.29
Jadeja,2018,Chennai Super Kings,11.0,7.36,22.45
SN Thakur,2018,Chennai Super Kings,16.0,9.24,17.5
Harshal Patel,2018,Delhi Daredevils,7.0,9.36,15.29
Mishra,2018,Delhi Daredevils,12.0,7.1,18.58
Rajpoot,2018,Kings XI Punjab,11.0,8.52,14.27
Russell,2018,Kolkata Knight Riders,13.0,9.38,17.46
Chawla,2018,Kolkata Knight Riders,13.0,8.41,22.62
Kuldeep,2018,Kolkata Knight Riders,17.0,8.12,18.18
Narine,2018,Kolkata Knight Riders,17.0,7.66,21.53
Prasidh,2018,Kolkata Knight Riders,10.0,9.29,16.8
Bumrah,2018,Mumbai Indians,17.0,6.87,19.12
Krunal Pandya,2018,Mumbai Indians,11.0,7.07,21.91
Markande,2018,Mumbai Indians,15.0,8.36,17.6
McClenaghan,2018,Mumbai Indians,14.0,8.08,17.29
Mustafizur,2018,Mumbai Indians,7.0,8.36,23.57
Gowtham,2018,Rajasthan Royals,10.0,7.8,24.0
Jofra Archer,2018,Rajasthan Royals,15.0,8.37,15.53
Laughlin,2018,Rajasthan Royals,9.0,10.08,13.89
Shreyas Gopal,2018,Rajasthan Royals,11.0,7.58,16.91
Stokes,2018,Rajasthan Royals,8.0,8.19,27.75
Siraj,2018,Royal Challengers Bangalore,11.0,8.91,22.45
Woakes,2018,Royal Challengers Bangalore,8.0,10.36,13.75
Sandeep Sharma,2018,Sunrisers Hyderabad,12.0,7.57,22.0
Shakib,2018,Sunrisers Hyderabad,14.0,7.98,24.5
Ngidi,2018,Chennai Super Kings,11.0,6.0,14.18
Tye,2018,Kings XI Punjab,24.0,8.0,14.0
Hardik,2018,Mumbai Indians,18.0,8.79,14.22
Mohit,2018,Kings XI Punjab,7.0,10.85,25.43
Bravo,2018,Chennai Super Kings,14.0,9.96,22.93
Boult,2018,Delhi Daredevils,18.0,8.82,17.61
Mujeeb,2018,Kings XI Punjab,14.0,6.96,17.79
Ashwin,2018,Kings XI Punjab,10.0,8.07,30.5
Unadkat,2018,Rajasthan Royals,11.0,9.66,27.45
Bhuvneshwar,2018,Sunrisers Hyderabad,9.0,7.67,30.78
Rashid Khan,2018,Sunrisers Hyderabad,21.0,6.74,19.43
U Yadav,2018,Royal Challengers Bangalore,20.0,7.86,15.95
Chahal,2018,Royal Challengers Bangalore,12.0,7.24,25.08
S Kaul,2018,Sunrisers Hyderabad,21.0,8.29,18.86
