player,season,team,runs_scored,bat_avg,bat_sr
Godleman,2018,Derbyshire,309.0,38.62,124.6
MacLeod,2018,Derbyshire,324.0,29.45,121.8
Madsen,2018,Derbyshire,328.0,27.33,142.61
Matthew Critchley,2018,Derbyshire,154.0,14.0,121.26
Riaz,2018,Derbyshire,152.0,19.0,138.18
Wilson,2018,Derbyshire,199.0,18.09,119.16
Collingwood,2018,Durham,251.0,20.92,110.57
Graham Clark,2018,Durham,408.0,29.14,141.18
Latham,2018,Durham,470.0,33.57,135.06
Stokes,2018,Durham,177.0,44.25,137.21
Stuart Poynter,2018,Durham,177.0,17.7,133.08
Will Smith,2018,Durham,154.0,14.0,110.0
Bopara,2018,Essex,196.0,19.6,163.33
Daniel Lawrence,2018,Essex,154.0,25.67,162.11
Varun Chopra,2018,Essex,425.0,42.5,127.63
Wheater,2018,Essex,203.0,20.3,153.79
ten Doeschate,2018,Essex,167.0,20.88,133.6
Aneurin Donald,2018,Glamorgan,183.0,15.25,132.61
C Cooke,2018,Glamorgan,207.0,18.82,145.77
Ingram,2018,Glamorgan,408.0,40.8,164.52
Khawaja,2018,Glamorgan,168.0,24.0,136.59
Kiran Carlson,2018,Glamorgan,260.0,26.0,142.08
Meschede,2018,Glamorgan,226.0,25.11,153.74
I Cockbain,2018,Gloucestershire,347.0,28.92,139.92
Jack Taylor,2018,Gloucestershire,236.0,21.45,196.67
Klinger,2018,Gloucestershire,367.0,30.58,113.27
Miles Hammond,2018,Gloucestershire,277.0,23.08,153.89
Noema-Barnett,2018,Gloucestershire,198.0,22.0,170.69
Ryan Higgins,2018,Gloucestershire,226.0,22.6,127.68
Alsop,2018,Hampshire,165.0,16.5,107.84
Dawson,2018,Hampshire,257.0,23.36,134.55
James Vince,2018,Hampshire,247.0,22.45,144.44
Munro,2018,Hampshire,173.0,24.71,144.17
Rossouw,2018,Hampshire,209.0,19.0,162.02
S Northeast,2018,Hampshire,183.0,16.64,95.81
A Blake,2018,Kent,161.0,16.1,161.0
Bell-Drummond,2018,Kent,350.0,35.0,144.63
Billings,2018,Kent,365.0,33.18,147.18
Denly,2018,Kent,357.0,32.45,145.12
Heino Kuhn,2018,Kent,292.0,26.55,146.0
Alex Davies,2018,Lancashire,534.0,38.14,130.88
Dane Vilas,2018,Lancashire,192.0,17.45,134.27
J Clark,2018,Lancashire,191.0,19.1,143.61
Jennings,2018,Lancashire,239.0,34.14,115.46
Karl Brown,2018,Lancashire,204.0,29.14,151.11
Lilley,2018,Lancashire,246.0,16.4,154.72
Livingstone,2018,Lancashire,318.0,45.43,189.29
Ackermann,2018,Leicestershire,320.0,24.62,140.97
Ben Raine,2018,Leicestershire,322.0,26.83,175.0
Cosgrove,2018,Leicestershire,230.0,19.17,115.0
Delport,2018,Leicestershire,177.0,19.67,126.43
Dexter,2018,Leicestershire,281.0,23.42,137.75
Nabi,2018,Leicestershire,246.0,20.5,143.86
Eskinazi,2018,Middlesex,256.0,23.27,128.64
J Fuller,2018,Middlesex,192.0,16.0,150.0
Max Holden,2018,Middlesex,169.0,28.17,137.4
Morgan,2018,Middlesex,259.0,25.9,144.69
Simpson,2018,Middlesex,238.0,21.64,127.27
Stirling,2018,Middlesex,490.0,35.0,159.61
Cobb,2018,Northamptonshire,387.0,29.77,143.87
Duckett,2018,Northamptonshire,393.0,30.23,144.49
Wakely,2018,Northamptonshire,274.0,21.08,129.86
Billy Root,2018,Nottinghamshire,199.0,18.09,109.94
Christian,2018,Nottinghamshire,415.0,29.64,172.92
Hales,2018,Nottinghamshire,173.0,28.83,133.08
Libby,2018,Nottinghamshire,284.0,25.82,141.29
Mullaney,2018,Nottinghamshire,263.0,18.79,152.02
Samit Patel,2018,Nottinghamshire,228.0,16.29,121.28
Tom Moores,2018,Nottinghamshire,445.0,29.67,147.84
Wessels,2018,Nottinghamshire,307.0,21.93,163.3
Abell,2018,Somerset,288.0,20.57,132.11
Corey Anderson,2018,Somerset,508.0,33.87,168.77
Gregory,2018,Somerset,324.0,24.92,202.5
Hildreth,2018,Somerset,403.0,26.87,139.45
Johann Myburgh,2018,Somerset,368.0,23.0,150.2
Steven Davies,2018,Somerset,213.0,15.21,141.06
Trego,2018,Somerset,328.0,21.87,140.17
Finch,2018,Surrey,458.0,65.43,170.26
Foakes,2018,Surrey,295.0,32.78,147.5
Maddinson,2018,Surrey,216.0,24.0,133.33
Rikki Clarke,2018,Surrey,215.0,30.71,172.0
Roy,2018,Surrey,163.0,23.29,179.12
Laurie Evans,2018,Sussex,563.0,43.31,131.24
Luke Wright,2018,Sussex,397.0,36.09,148.69
Michael Burgess,2018,Sussex,160.0,14.55,126.98
Philip Salt,2018,Sussex,322.0,24.77,165.98
Rawlins,2018,Sussex,183.0,22.88,142.97
Wiese,2018,Sussex,167.0,18.56,130.47
Adam Hose,2018,Warwickshire,309.0,23.77,135.53
Bell,2018,Warwickshire,449.0,34.54,127.2
Ed Pollock,2018,Warwickshire,242.0,18.62,187.6
Hain,2018,Warwickshire,365.0,28.08,134.19
de Grandhomme,2018,Warwickshire,240.0,24.0,170.21
Brett DOliveira,2018,Worcestershire,171.0,17.1,143.7
Cox,2018,Worcestershire,274.0,19.57,121.78
Ferguson,2018,Worcestershire,390.0,39.0,141.82
Guptill,2018,Worcestershire,253.0,36.14,148.82
Joe Clarke,2018,Worcestershire,396.0,26.4,151.72
Moeen Ali,2018,Worcestershire,334.0,41.75,174.87
Whiteley,2018,Worcestershire,313.0,20.87,154.19
Ballance,2018,Yorkshire,265.0,20.38,140.21
Harry Brook,2018,Yorkshire,165.0,20.62,144.74
Kohler-Cadmore,2018,Yorkshire,321.0,24.69,138.96
Lyth,2018,Yorkshire,395.0,28.21,150.76
Tattersall,2018,Yorkshire,165.0,18.33,136.36
Willey,2018,Yorkshire,382.0,38.2,142.54
Williamson,2018,Yorkshire,280.0,28.0,146.6
