type,start_econ,end_econ,start_sr,end_sr,color_id
Flops,9.5,11.5,18,26,0
Average,7.5,9.5,14,20,1
Containers,6,8.5,20,30,2
Ideal,6,7.5,10,16,3
Strikers,7.5,10,10,14,4
