bins,power
0.0,0.0
0.1,0.10896754656021411
0.2,0.21796037248171293
0.30000000000000004,0.3270037571257813
0.4,0.43612297985370363
0.5,0.545343320026765
0.6000000000000001,0.65469005700625
0.7000000000000001,0.7641884701534434
0.8,0.8738638388296296
0.9,0.9837414423960937
1.0,1.0938465602141203
1.1,1.2042044716449942
1.2000000000000002,1.31484045605
1.3,1.4257797927904223
1.4000000000000001,1.5370477612275464
1.5,1.6486696407226562
1.6,1.7606707106370367
1.7000000000000002,1.8730762503319733
1.8,1.9859115391687499
1.9000000000000001,2.0992018565086514
2.0,2.212972481712963
2.1,2.327248694142969
2.2,2.4420557731599537
2.3000000000000003,2.557418998125203
2.4000000000000004,2.6733636484
2.5,2.7899150033456306
2.6,2.9070983423233794
2.7,3.024938944694531
2.8000000000000003,3.1434620898203707
2.9000000000000004,3.2626930570621817
3.0,3.38265712578125
3.1,3.5033795753388595
3.2,3.6248856850962956
3.3000000000000003,3.747200734414844
3.4000000000000004,3.8703500026557873
3.5,3.9943587691804106
3.6,4.11925231335
3.7,4.245055914525838
3.8000000000000003,4.371794852069213
3.9000000000000004,4.499494405341406
4.0,4.6281798537037036
4.1000000000000005,4.75787647651739
4.2,4.88860955314375
4.3,5.020404362944069
4.4,5.15328618527963
4.5,5.2872802995117185
4.6000000000000005,5.422411985001621
4.7,5.5587065211106195
4.800000000000001,5.6961891872
4.9,5.8348852626310475
5.0,5.9748200267650455
5.1000000000000005,6.116018758963283
5.2,6.2585067385870365
5.300000000000001,6.4023092449976
5.4,6.547451557556249
5.5,6.693958955624276
5.6000000000000005,6.841856718562964
5.7,6.991170125733594
5.800000000000001,7.141924456497455
5.9,7.294144990215826
6.0,7.44785700625
6.1000000000000005,7.603085783961257
6.2,7.75985660271088
6.300000000000001,7.918194741860157
6.4,8.07812548077037
6.5,8.239674098802807
6.6000000000000005,8.402865875318751
6.7,8.567726089679486
6.800000000000001,8.734280021246297
6.9,8.90255294938047
7.0,9.072570153443287
7.1000000000000005,9.244356912796038
7.2,9.417938506799999
7.300000000000001,9.593340214816465
7.4,9.77058731620671
7.5,9.949705090332031
7.6000000000000005,10.130718816553703
7.7,10.313653774233014
7.800000000000001,10.498535242731252
7.9,10.685388501409694
8.0,10.874238829629629
8.1,11.065111506752343
8.200000000000001,11.258031812139121
8.3,11.453025025151241
8.4,11.65011642515
8.5,11.849331291496672
8.6,12.050694903552545
8.700000000000001,12.254232540678908
8.8,12.459969482237039
8.9,12.667931007588223
9.0,12.87814239609375
9.1,13.0906289271149
9.200000000000001,13.305415880012967
9.3,13.522528534149219
9.4,13.741992168884954
9.5,13.963832063581451
9.600000000000001,14.188073497600003
9.700000000000001,14.414741750301884
9.8,14.643862101048379
9.9,14.875459829200778
10.0,15.10956021412037
10.100000000000001,15.346188535168437
10.200000000000001,15.585370071706256
10.3,15.82713010309511
10.4,16.071493908696294
10.5,16.318486767871093
10.600000000000001,16.568133959980795
10.700000000000001,16.820460764386667
10.8,17.07549246045
10.9,17.333254327532085
11.0,17.59377164499421
11.100000000000001,17.857069692197662
11.200000000000001,18.123173748503707
11.3,18.39210909327364
11.4,18.66390100586875
11.5,18.93857476565032
11.600000000000001,19.216155651979633
11.700000000000001,19.496668944217973
11.8,19.78013992172662
11.9,20.066593863866867
12.0,20.356056050000003
12.100000000000001,20.648551759487304
12.200000000000001,20.94410627169005
12.3,21.242744865969527
12.4,21.544492821687037
12.5,21.849375418203845
12.600000000000001,22.157417934881252
12.700000000000001,22.46864565108053
12.8,22.78308384616296
12.9,23.100757799489845
13.0,23.42169279042245
13.100000000000001,23.745914098322082
13.200000000000001,24.073447002550004
13.3,24.404316782467507
13.4,24.73854871743588
13.5,25.076168086816406
13.600000000000001,25.41720016997037
13.700000000000001,25.761670246259065
13.8,26.10960359504375
13.9,26.461025495685735
14.0,26.815961227546293
14.100000000000001,27.174436069986722
14.200000000000001,27.536475302368295
14.3,27.902104204052286
14.4,28.2713480544
14.5,28.644232132772714
14.600000000000001,29.020781718531723
14.700000000000001,29.40102209103829
14.8,29.7849785296537
14.9,30.17267631373927
15.0,30.564140722656255
15.100000000000001,30.959397035765946
15.200000000000001,31.358470532429628
15.3,31.761386492008594
15.4,32.168170193864114
15.5,32.578846917357495
15.600000000000001,32.99344194185001
15.700000000000001,33.411980546702935
15.8,33.83448801127755
15.9,34.26098961493516
16.0,34.69151063703704
16.1,35.12607635694448
16.2,35.56471205401874
16.3,36.00744300762115
16.400000000000002,36.45429449711297
16.5,36.90529180185547
16.6,37.36046020120994
16.7,37.81982497453771
16.8,38.283411401200006
16.900000000000002,38.751244760558144
17.0,39.22335033197338
17.1,39.69975339480703
17.2,40.18047922842037
17.3,40.66555311217468
17.400000000000002,41.15500032543127
17.5,41.64884614755136
17.6,42.1471158578963
17.7,42.64983473582734
17.8,43.157028060705784
17.900000000000002,43.66872111189293
18.0,44.18493916875
18.1,44.705707510638334
18.2,45.23105141691921
18.3,45.7609961669539
18.400000000000002,46.295567040103734
18.5,46.8347893157299
18.6,47.37868827319375
18.7,47.927289191856566
18.8,48.48061735107963
18.900000000000002,49.03869803022423
19.0,49.60155650865162
19.1,50.16921806572312
19.200000000000003,50.74170798080001
19.3,51.319051533243545
19.400000000000002,51.901274002415065
19.5,52.48840066767578
19.6,53.08045680838704
19.700000000000003,53.67746770391011
19.8,54.27945863360625
19.900000000000002,54.886454876836794
20.0,55.498481712962956
20.1,56.115564421346086
20.200000000000003,56.737728281347486
20.3,57.36499857232834
20.400000000000002,57.99740057365003
