round,Cooperator,Defector,Tit For Tat,Grudger,Random
0,200,200,200,200,200
1,186,198,217,231,168
2,178,184,236,265,136
3,173,159,258,303,106
4,172,128,281,342,77
5,172,95,302,375,55
6,173,66,321,403,36
7,175,43,335,424,23
8,176,27,344,438,15
9,177,16,350,448,9
10,178,10,354,454,5
11,178,6,356,457,3
12,178,3,357,459,2
13,178,2,358,461,1
14,178,1,359,461,1
15,178,1,359,462,0
16,178,0,359,462,0
17,178,0,359,462,0
18,178,0,359,462,0
19,178,0,359,462,0
20,178,0,359,462,0
21,178,0,359,462,0
22,178,0,359,462,0
23,178,0,359,462,0
24,178,0,359,462,0
25,178,0,359,462,0
26,178,0,359,462,0
27,178,0,359,462,0
28,178,0,359,462,0
29,178,0,359,462,0
30,178,0,359,462,0
31,178,0,359,462,0
32,178,0,359,462,0
33,178,0,359,462,0
34,178,0,359,462,0
35,178,0,359,462,0
36,178,0,359,462,0
37,178,0,359,462,0
38,178,0,359,462,0
39,178,0,359,462,0
40,178,0,359,462,0
41,178,0,359,462,0
42,178,0,359,462,0
43,178,0,359,462,0
44,178,0,359,462,0
45,178,0,359,462,0
46,178,0,359,462,0
47,178,0,359,462,0
48,178,0,359,462,0
49,178,0,359,462,0
50,178,0,359,462,0
51,178,0,359,462,0
52,178,0,359,462,0
53,178,0,359,462,0
54,178,0,359,462,0
55,178,0,359,462,0
56,178,0,359,462,0
57,178,0,359,462,0
58,178,0,359,462,0
59,178,0,359,462,0
60,178,0,359,462,0
61,178,0,359,462,0
62,178,0,359,462,0
63,178,0,359,462,0
64,178,0,359,462,0
65,178,0,359,462,0
66,178,0,359,462,0
67,178,0,359,462,0
68,178,0,359,462,0
69,178,0,359,462,0
70,178,0,359,462,0
71,178,0,359,462,0
72,178,0,359,462,0
73,178,0,359,462,0
74,178,0,359,462,0
75,178,0,359,462,0
76,178,0,359,462,0
77,178,0,359,462,0
78,178,0,359,462,0
79,178,0,359,462,0
80,178,0,359,462,0
81,178,0,359,462,0
82,178,0,359,462,0
83,178,0,359,462,0
84,178,0,359,462,0
85,178,0,359,462,0
86,178,0,359,462,0
87,178,0,359,462,0
88,178,0,359,462,0
89,178,0,359,462,0
90,178,0,359,462,0
91,178,0,359,462,0
92,178,0,359,462,0
93,178,0,359,462,0
94,178,0,359,462,0
95,178,0,359,462,0
96,178,0,359,462,0
97,178,0,359,462,0
98,178,0,359,462,0
99,178,0,359,462,0
100,178,0,359,462,0
