date,open,high,low,close,adj_close,volume,year,weekday,change,nChange
2014-01-02,149.800003,152.479996,146.550003,150.100006,150.100006,6188400,2014,3,-0.002193625043909884,0.4272101485806017
2014-01-03,150.0,152.190002,148.600006,149.559998,149.559998,4695000,2014,4,-0.003597654752925195,0.4239429008654635
2014-01-06,150.0,150.399994,145.240005,147.0,147.0,5361100,2014,0,-0.017116863026435766,0.39248302358616943
2014-01-07,147.619995,150.399994,145.25,149.360001,149.360001,5034100,2014,1,0.016054428571428647,0.46967428669506356
2014-01-08,148.850006,153.699997,148.759995,151.279999,151.279999,6163200,2014,2,0.012854833872155587,0.46222866898238724
2014-01-09,152.5,153.429993,146.850006,147.529999,147.529999,5382000,2014,3,-0.02478847187194918,0.3746308041416703
2014-01-10,148.46000700000005,148.899994,142.25,145.720001,145.720001,7446100,2014,4,-0.01226867764026764,0.40376499470388416
2014-01-13,145.779999,147.0,137.820007,139.339996,139.339996,6316100,2014,0,-0.043782630772833876,0.33043044152013384
2014-01-14,140.5,162.0,136.669998,161.270004,161.270004,27607000,2014,1,0.15738487605525683,0.7985573428412488
2014-01-15,168.449997,172.229996,162.100006,164.130005,164.130005,20465600,2014,2,0.017734240274465494,0.4735832929741819
2014-01-16,162.5,172.699997,162.399994,170.970001,170.970001,11959400,2014,3,0.04167425694040516,0.5292929152492106
2014-01-17,170.190002,173.199997,167.949997,170.009995,170.009995,9206200,2014,4,-0.005615055240012503,0.4192483085148662
2014-01-21,171.240005,177.28999299999995,170.809998,176.679993,176.679993,9734700,2014,1,0.03923297568475308,0.5236119310411678
2014-01-22,177.809998,180.320007,174.759995,178.559998,178.559998,7022600,2014,2,0.010640735083117256,0.45707634979489004
2014-01-23,177.229996,182.380005,173.419998,181.5,181.5,7867400,2014,3,0.016465065148578196,0.47062985865328444
2014-01-24,177.850006,180.479996,173.529999,174.600006,174.600006,7664300,2014,4,-0.038016495867768556,0.34384852731474697
2014-01-27,175.160004,177.919998,164.71000700000005,169.619995,169.619995,8716400,2014,0,-0.02852239879075387,0.3659417684926216
2014-01-28,171.5,178.979996,171.0,178.380005,178.380005,6093400,2014,1,0.05164491367895644,0.5524951347167073
2014-01-29,175.300003,179.089996,173.130005,175.229996,175.229996,5935500,2014,2,-0.017658980332465015,0.3912214893621514
2014-01-30,178.0,184.779999,177.009995,182.839996,182.839996,8565000,2014,3,0.04342863764032737,0.5333754473327541
2014-01-31,178.850006,186.0,178.509995,181.410004,181.410004,6508800,2014,4,-0.007821002140035197,0.41411495918291363
2014-02-03,182.889999,184.880005,175.160004,177.110001,177.110001,6764900,2014,0,-0.023703229729271025,0.37715621716410813
2014-02-04,180.699997,181.600006,176.199997,178.729996,178.729996,4686300,2014,1,0.009146829602242442,0.45359995664047187
2014-02-05,178.300003,180.589996,169.360001,174.419998,174.419998,7268000,2014,2,-0.024114575597036367,0.37619899465096746
2014-02-06,176.300003,180.110001,176.0,178.380005,178.380005,5841600,2014,3,0.02270385876280092,0.4851478450252278
2014-02-07,181.009995,186.630005,179.600006,186.529999,186.529999,8928500,2014,4,0.04568894366832197,0.538635293088196
2014-02-10,189.339996,199.300003,189.320007,196.559998,196.559998,12970700,2014,0,0.053771506212252775,0.5574438224480482
2014-02-11,198.970001,202.199997,192.699997,196.619995,196.619995,10709900,2014,1,0.00030523504584071794,0.4330251216301489
2014-02-12,195.779999,198.270004,194.320007,195.320007,195.320007,5173700,2014,2,-0.00661167751530044,0.41692911837887253
2014-02-13,193.339996,202.720001,193.25,199.630005,199.630005,8029300,2014,3,0.022066341621624082,0.483664310588957
2014-02-14,198.100006,201.880005,197.0,198.229996,198.229996,6158000,2014,4,-0.00701301890965745,0.41599517677828995
2014-02-18,205.240005,206.0,201.360001,203.699997,203.699997,9332800,2014,1,0.027594214348871784,0.49652794831806274
2014-02-19,203.699997,203.699997,193.410004,193.639999,193.639999,16169000,2014,2,-0.04938634338811506,0.3173903205590119
2014-02-20,215.00999500000003,215.210007,206.270004,209.970001,209.970001,18002300,2014,3,0.08433176040245698,0.6285590702493311
