district,total_case_count,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
"Ashoknagar, MP",3.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Auraiya, UP",20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.0,0.0,0.0,0.0
"Aurangabad, BR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Aurangabad, MH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Aurangabad(BR), BR",26.0,,,,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
"Aurangabad(MH), MH",974.0,2.71,0.27,0.27,0.27,4.06,7.03,0.81,0.81,6.49,0.81,0.81,8.93,7.31,6.22,5.14,34.09,4.33,18.67,7.31,9.74,16.78,25.7,17.86,9.47,0.0
"Azamgarh, UP",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,0.0
"Badgam, JK",0.0,,,,5.44,5.44,1.36,1.36,,,,,,,,,,,,,,,,,,
"Bagalkote, KA",76.0,0.53,0.53,0.53,1.59,0.0,0.0,0.0,0.0,1.59,0.53,0.53,6.88,1.59,0.0,0.0,0.0,0.0,7.93,0.53,0.53,0.53,0.53,0.0,0.0,0.0
"Bageshwar, UT",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Baghpat, UP",26.0,,,,,,,,,0.77,0.77,0.77,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bahraich, UP",62.0,,,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.0,0.0,0.0,0.0,2.1,0.84,0.42,0.42,0.42,0.42,0.84,0.42,0.42,2.52,0.42
"Baksa, AS",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Balaghat, MP",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Balangir, OR",6.0,,,,,,,,,,,,,,,,,,,,,,,,1.21,0.0
"Baleshwar, OR",121.0,0.86,0.86,0.86,0.86,0.86,0.86,0.86,,,1.29,1.29,0.43,0.86,0.43,0.43,0.43,1.29,1.29,14.24,1.29,1.29,1.29,1.29,1.29,1.29
"Ballari, KA",19.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.39,0.39,0.0
"Ballia, UP",12.0,,,,,,,,,,,,,,,,,,,,,,0.62,0.62,0.0,0.0
"Balod, CT",11.0,,,,,,,,,,,,,,,,,,,,,,1.21,10.89,0.0,0.0
"Baloda Bazar, CT",6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"Balrampur, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Balrampur, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Balrampur(CT), CT",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Balrampur(UP), UP",32.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,2.79,2.79,6.98,2.79
"Bametara, CT",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Banas Kantha, GJ",86.0,1.6,0.32,0.32,0.32,0.32,0.32,0.32,,,0.96,3.21,4.81,0.96,2.57,0.64,1.28,0.32,0.32,0.32,0.32,0.0,0.0,0.0,0.0,0.0
"Banda, UP",21.0,,,,,0.56,0.56,0.56,0.0,0.0,0.0,0.0,0.0,1.67,0.56,0.56,0.56,0.56,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bandipore, JK",137.0,20.77,20.77,7.79,0.0,0.0,0.0,0.0,0.0,,,5.19,5.19,5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,2.6,0.0
"Banka, BR",40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.49,0.49,0.49,1.97,1.97,0.49,0.49,0.49,0.49,0.0
"Bankura, WB",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Banswara, RJ",72.0,,,0.56,0.56,0.56,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bara Banki, UP",29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.31,3.68,2.15,0.0,0.0,0.0
"Baramula, JK",121.0,2.95,6.89,4.92,4.92,0.98,10.83,0.98,2.95,,,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,1.97,0.98,0.98,1.97
"Baran, RJ",4.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bareilly, UP",20.0,,,,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.67,0.22,0.22
"Bargarh, OR",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Barmer, RJ",50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.15,1.15,1.15,3.07,0.38,0.38,1.54,4.22,6.53
"Barnala, PB",21.0,,,,,,,,,,25.16,25.16,25.16,25.16,25.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Barpeta, AS",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Barwani, MP",33.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,1.44
"Bastar, CT",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Basti, UP",98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,0.81,0.81,0.81,0.81,1.22,1.22,1.22,0.41,1.22,1.22,1.22,1.22,2.84,2.84,1.63,0.81,2.84
"Bathinda, PB",41.0,,,,,,,,,,0.72,0.72,0.72,1.44,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Baudh, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Begusarai, BR",82.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06,0.34,1.35,3.05,2.37,2.03,2.03,2.03,4.06,4.06,4.06
"Belagavi, KA",116.0,1.88,0.63,0.63,0.63,0.63,2.93,0.63,0.21,0.21,0.21,0.21,0.21,0.21,2.3,1.88,1.88,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.0
"Bengaluru, KA",246.0,1.36,0.94,0.94,0.1,0.94,0.94,0.0,,,0.1,0.31,0.21,0.1,0.73,1.25,0.21,0.1,0.42,0.21,0.52,1.36,1.46,0.1,0.1,0.63
"Bengaluru Rural, KA",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Betul, MP",9.0,,,,,,,,,,,,,,,,,,,,,,,1.9,1.9,1.9
"Bhadohi, UP",9.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.64,1.29,0.0
"Bhadradri Kothagudem, TG",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bhadrak, OR",95.0,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,3.98,0.66,0.66,0.66,0.66,3.98,3.32,3.32,3.32,3.32
"Bhagalpur, BR",47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.66,0.33,1.98,0.33,0.33,0.33,0.33,0.33,1.65
"Bhandara, MH",3.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"Bharatpur, RJ",129.0,0.78,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.78,1.18,1.18,0.39,0.0,0.0,0.0,0.0,0.0,1.18,1.18,1.18,1.18,0.39,1.18,1.18,0.0
