district,total_case_count,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
"Bahraich, UP",62.0,,,,,,,,45.67,29.0,21.86,15.19,10.19,6.19,2.86,12.5,15.58,16.91,18.16,19.34,7.95,6.98,6.6,6.25,10.3,9.87
"Baksa, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Balaghat, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Balangir, OR",6.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Baleshwar, OR",121.0,,,,,45.67,29.0,21.86,21.86,21.86,18.94,17.1,14.01,12.41,10.36,7.38,4.96,6.19,6.39,25.0,25.13,25.24,23.92,22.78,4.12,3.96
"Ballari, KA",19.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0
"Ballia, UP",12.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Balod, CT",11.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Baloda Bazar, CT",6.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Balrampur, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Balrampur, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Balrampur(CT), CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Balrampur(UP), UP",32.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bametara, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Banas Kantha, GJ",86.0,,,,33.76,14.87,5.92,5.59,5.59,5.59,7.2,14.35,22.07,22.24,24.32,22.12,15.08,6.56,5.64,2.85,2.48,1.19,0.88,0.58,0.29,0.0
"Banda, UP",21.0,,,,,,,,,,30.0,10.0,0.0,20.0,23.33,26.19,28.69,30.91,12.91,9.58,6.72,4.22,2.0,0.0,0.0,0.0
"Bandipore, JK",137.0,,,,115.19,25.19,10.64,2.22,0.0,0.0,0.0,1.33,2.58,3.76,3.76,3.76,2.43,1.18,0.0,0.0,0.0,0.0,0.56,1.1,1.62,1.62
"Banka, BR",40.0,,,,,,,,,,,,,,,,,,,,66.67,48.33,39.87,34.63,15.97,5.97
"Bankura, WB",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Banswara, RJ",72.0,,,,,,,,43.33,23.33,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bara Banki, UP",29.0,,,,,,,,,,,,,,,,,,,,,,,119.33,99.33,89.33
"Baramula, JK",121.0,,,,54.5,41.97,38.43,21.47,16.38,16.38,16.38,11.87,11.55,3.55,3.46,2.33,2.28,2.22,2.18,2.13,2.09,2.04,2.39,2.34,2.3,2.61
"Baran, RJ",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bareilly, UP",20.0,,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,19.5,21.72
"Bargarh, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Barmer, RJ",50.0,,,,,,,,,,,,,,,,,,,,,51.0,31.95,25.59,27.38,23.24
"Barnala, PB",21.0,,,,,,,,,,,,,,,41.67,21.67,11.67,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Barpeta, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Barwani, MP",33.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bastar, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Basti, UP",98.0,,,,,,,,,,,,,20.87,18.49,16.9,14.1,13.42,11.57,10.17,9.08,12.03,12.81,12.23,11.03,11.72
"Bathinda, PB",41.0,,,,,,,,,,,,,,,47.33,27.33,17.33,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Baudh, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Begusarai, BR",82.0,,,,,,,,,,,,,,,,,,,,27.43,28.84,25.35,19.47,17.9,17.46
"Belagavi, KA",116.0,,,,,,32.33,27.38,22.91,19.42,16.59,3.74,2.5,2.44,6.93,9.7,12.03,12.37,12.7,8.46,5.92,3.81,3.67,3.54,3.42,2.69
"Bengaluru, KA",246.0,,,,45.16,28.76,17.37,11.56,11.56,11.56,7.35,7.81,4.77,1.99,3.86,6.49,6.04,5.7,6.25,4.78,2.83,4.81,6.91,6.24,5.99,5.89
"Bengaluru Rural, KA",6.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Betul, MP",9.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhadohi, UP",9.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhadradri Kothagudem, TG",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhadrak, OR",95.0,,,,27.02,8.45,7.79,7.22,6.73,6.3,5.92,5.59,5.29,5.03,4.78,4.56,8.36,8.06,7.77,7.51,7.26,5.89,7.69,9.24,10.59,11.79
"Bhagalpur, BR",47.0,,,,,,,,,,,,,,,,,,50.0,47.14,38.68,33.44,24.78,22.69,6.73,10.74
"Bhandara, MH",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bharatpur, RJ",129.0,,,,25.36,20.91,12.91,11.4,10.21,10.78,12.56,13.9,13.03,11.36,8.29,4.29,0.95,0.0,2.73,5.13,7.27,9.21,9.79,8.78,7.96,5.82
"Bharuch, GJ",36.0,,,,,,,,,,,,,,,,,,,,,23.33,3.33,0.0,0.0,0.0
"Bhavnagar, GJ",114.0,,,,,61.58,18.25,17.89,17.61,17.39,15.21,10.21,12.32,10.73,9.33,13.4,12.64,8.89,9.1,9.69,4.94,4.75,4.57,4.07,4.18,3.66
"Bhilwara, RJ",82.0,,,,,,,,,20.0,0.0,0.0,5.0,9.0,12.33,12.33,12.33,7.33,3.33,0.0,0.0,0.0,0.0,14.29,55.95,57.03
