,total_case_count,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04
"Supaul, BR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vaishali, BR",3.0,0.0,0.0,0.0,0.0,0.005722426274405791,0.005722426274405791,0.005722426274405791,0.005722426274405791,0.011444852548811581,0.005722426274405791,0.005722426274405791,0.005722426274405791,0.005722426274405791,0.0
"Chandigarh, CH",101.0,0.1136955800843242,0.1136955800843242,0.07579705338954948,0.01894926334738737,0.03789852669477474,0.17054337012648635,0.3221374769055853,0.5305793737268464,0.7579705338954948,0.8527168506324316,0.9664124307167559,0.9285139040219812,0.7769197972428822,0.6442749538111706
"Balod, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Balodabazar, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Balrampur (Chhattisgarh), CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bemetara, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bastar, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bijapur (Chhattisgarh), CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bilaspur (Chhattisgarh), CT",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dakshin Bastar Dantewada, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dhamtari, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Durg, CT",9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04786007150892935,0.04786007150892935
"Gariyaband, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Janjgir - Champa, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jashpur, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kawardha, CT",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205245036918451,0.205245036918451
"Kondagaon, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Korba, CT",28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Koriya, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mahasamund, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mungeli, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Narayanpur, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Raigarh (Chhattisgarh), CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Raipur, CT",7.0,0.0,0.0,0.0,0.0,0.00492348898123166,0.00492348898123166,0.00492348898123166,0.00492348898123166,0.00492348898123166,0.0,0.0,0.0,0.0,0.00492348898123166
"Rajnandgaon, CT",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sukma, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Surajpur, CT",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03029017992366875,0.03029017992366875,0.09087053977100625,0.1817410795420125,0.1817410795420125,0.15145089961834374,0.15145089961834374
"Surguja, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Uttar Bastar Kanker, CT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Uni District UT, DN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Delhi, DL",4880.0,0.6147269638367207,0.6445102469683447,0.5754130301029768,0.6087703072103958,0.6480842409441395,0.9077944698519015,1.0245449397278676,1.1174687830985348,1.0805375120153211,1.0388409156310474,0.9554477228624999,1.1865659999639027,1.4498502228474595,1.7381524035615803
"North Goa, GA",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"South Goa, GA",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ahmadabad, GJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Amreli, GJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anand, GJ",75.0,0.02870434334987341,0.03827245779983122,0.05740868669974682,0.07654491559966244,0.12438548784945147,0.2009304034491139,0.2009304034491139,0.25833909014886075,0.3348840057485232,0.31574777684860755,0.2392028612489451,0.22006663234902948,0.13395360229940925,0.03827245779983122
"Arvalli, GJ",20.0,0.20917597975176516,0.30425597054802206,0.3232719687072734,0.3232719687072734,0.20917597975176516,0.11409598895550828,0.01901599815925138,0.0,0.0,0.01901599815925138,0.01901599815925138,0.01901599815925138,0.03803199631850276,0.03803199631850276
"Banas Kantha, GJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bharuch, GJ",31.0,0.14186025217594284,0.03868915968434804,0.09027470593014543,0.07737831936869607,0.07737831936869607,0.06448193280724673,0.06448193280724673,0.025792773122898696,0.025792773122898696,0.025792773122898696,0.025792773122898696,0.025792773122898696,0.0,0.0
"Bhavnagar, GJ",74.0,0.04169618698794041,0.04169618698794041,0.020848093493970207,0.020848093493970207,0.05559491598392056,0.05559491598392056,0.05559491598392056,0.05559491598392056,0.05559491598392056,0.048645551485930486,0.048645551485930486,0.09034173847387092,0.08339237397588083,0.2154302994376922
"Botad, GJ",33.0,0.18292543501955016,0.1524378625162918,0.2134130075228085,0.2134130075228085,0.2134130075228085,0.1524378625162918,0.12195029001303345,0.2439005800260669,0.2439005800260669,0.2439005800260669,0.27438815252932525,0.426826015045617,0.335363297535842,0.39633844254235867
"Chhota Udepur, GJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Devbhumi Dwarka, GJ",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07973591465067696,0.07973591465067696
"Dohad, GJ",1.0,0.009404869277019485,0.009404869277019485,0.009404869277019485,0.009404869277019485,0.009404869277019485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gandhinagar, GJ",76.0,0.0,0.0,0.014414642970915575,0.02882928594183115,0.08648785782549344,0.1153171437673246,0.18739035862190248,0.25946357347648036,0.2738782164473959,0.3603660742728894,0.34595143130197376,0.5333417899238763,0.4900978610111295,0.5621710758657074
"Gir Somnath, GJ",3.0,0.016427415055890175,0.016427415055890175,0.016427415055890175,0.016427415055890175,0.016427415055890175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jamnagar, GJ",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027788970557585693
"Junagadh, GJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kachchh, GJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kheda, GJ",12.0,0.008699684288457172,0.008699684288457172,0.026099052865371515,0.026099052865371515,0.026099052865371515,0.026099052865371515,0.026099052865371515,0.008699684288457172,0.008699684288457172,0.008699684288457172,0.0,0.026099052865371515,0.026099052865371515,0.05219810573074303
"Mahesana, GJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mahisagar, GJ",39.0,0.060324303455376094,0.2211891126697124,0.20108101151792032,0.20108101151792032,0.20108101151792032,0.20108101151792032,0.020108101151792034,0.020108101151792034,0.04021620230358407,0.020108101151792034,0.14075670806254423,0.26140531497329644,0.46248632649121674,0.5027025287948009
"Morbi, GJ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Narmada, GJ",11.0,0.16938271855875633,0.033876543711751264,0.033876543711751264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Navsari, GJ",7.0,0.015029559385922264,0.015029559385922264,0.015029559385922264,0.015029559385922264,0.03005911877184453,0.03005911877184453,0.03005911877184453,0.03005911877184453,0.07514779692961131,0.06011823754368906,0.045088678157766786,0.06011823754368906,0.06011823754368906,0.015029559385922264
"Panch Mahals, GJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Patan, GJ",22.0,0.014894849807781965,0.0,0.0,0.0,0.014894849807781965,0.02978969961556393,0.02978969961556393,0.02978969961556393,0.02978969961556393,0.014894849807781965,0.014894849807781965,0.05957939923112786,0.07447424903890981,0.07447424903890981
"Porbandar, GJ",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rajkot, GJ",61.0,0.07600526463133013,0.08233903668394098,0.0696714925787193,0.03166886026305422,0.019001316157832532,0.03166886026305422,0.03166886026305422,0.08867280873655181,0.10767412489438434,0.10767412489438434,0.08233903668394098,0.07600526463133013,0.019001316157832532,0.019001316157832532
"Sabar Kantha, GJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Surat, GJ",706.0,1.0367483249409422,1.1007945535087227,1.212875453502338,0.8806356428069781,0.9086558678053819,0.7165171821020412,0.5644073892535632,0.45632937854543415,0.5564016106825908,0.47234093568737917,0.47234093568737917,0.4203033749760577,0.4643351571164066,0.4203033749760577
"Surendranagar, GJ",1.0,0.0,0.0,0.0,0.0,0.011390345429310663,0.011390345429310663,0.011390345429310663,0.011390345429310663,0.011390345429310663,0.0,0.0,0.0,0.0,0.0
"Tapi, GJ",2.0,0.02479885032529892,0.02479885032529892,0.02479885032529892,0.02479885032529892,0.02479885032529892,0.0,0.0,0.0,0.0,0.0,0.0,0.02479885032529892,0.02479885032529892,0.02479885032529892
"Dang, GJ",1.0,0.0,0.0,0.08819547645401267,0.08819547645401267,0.08819547645401267,0.08819547645401267,0.08819547645401267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vadodara, GJ",378.0,0.3846391603876613,0.3516700894972904,0.3132061734585242,0.21979380593580647,0.2142989607874113,0.1758350447486452,0.15935050930345968,0.203309270490621,0.25825772197457264,0.30771132831012904,0.3901340055360564,0.4505773021684032,0.5055257536523549,0.6154226566202581
"Valsad, GJ",6.0,0.03523053688989518,0.03523053688989518,0.0469740491865269,0.058717561483158626,0.058717561483158626,0.02348702459326345,0.02348702459326345,0.011743512296631725,0.0,0.0,0.0,0.011743512296631725,0.011743512296631725,0.011743512296631725
"Ambala, HR",37.0,0.07037396726203043,0.08796745907753804,0.08796745907753804,0.01759349181550761,0.03518698363101522,0.03518698363101522,0.03518698363101522,0.03518698363101522,0.03518698363101522,0.01759349181550761,0.01759349181550761,0.0,0.0,0.40465031175667493
"Bhiwani, HR",3.0,0.012276649383190445,0.012276649383190445,0.012276649383190445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ch-Dadri, HR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Faridabad, HR",75.0,0.11117571655528713,0.11117571655528713,0.11117571655528713,0.011117571655528713,0.011117571655528713,0.022235143311057425,0.033352714966586136,0.033352714966586136,0.033352714966586136,0.11117571655528713,0.1778811464884594,0.1667635748329307,0.3001744346992753,0.32240957801033265
"Fatehabad, HR",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08496880582716071,0.08496880582716071
"Gurgaon, HR",87.0,0.06604649012439856,0.11888368222391743,0.17172087432343627,0.14530227827367684,0.19813947037319568,0.18493017234831596,0.13209298024879712,0.07925578814927828,0.05283719209951885,0.03962789407463914,0.07925578814927828,0.15851157629855656,0.277395258522474,0.2906045565473537
"Hisar, HR",4.0,0.0,0.0,0.0,0.0,0.0,0.02295137464389508,0.02295137464389508,0.02295137464389508,0.02295137464389508,0.02295137464389508,0.0,0.0,0.0,0.0
"Jhajjar, HR",56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02090067268815047,0.10450336344075234,0.1254040361289028,0.5016161445156112,0.5852188352682131,0.8151262348378682,0.7733248894615674,1.0450336344075235
"Jind, HR",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09008724950114186,0.12011633266818916
"Kaithal, HR",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Karnal, HR",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kurukshetra, HR",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Narnaul, HR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nuh, HR",55.0,0.1285103992450932,0.018358628463584745,0.0,0.0,0.0,0.0,0.0,0.0,0.018358628463584745,0.018358628463584745,0.018358628463584745,0.018358628463584745,0.018358628463584745,0.018358628463584745
"Palwal, HR",35.0,0.07688662970341945,0.07688662970341945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03844331485170972,0.03844331485170972
"Panchkula, HR",18.0,0.14314086850721966,0.07157043425360983,0.035785217126804915,0.035785217126804915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Panipat, HR",27.0,0.0,0.0,0.0,0.03325543248274251,0.049883148724113764,0.11639401368959877,0.11639401368959877,0.13302172993097003,0.09976629744822753,0.08313858120685627,0.016627716241371254,0.016627716241371254,0.1829048786550838,0.23278802737919754
"Rewari, HR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rohtak, HR",4.0,0.0,0.0,0.037782792393946066,0.05667418859091909,0.05667418859091909,0.05667418859091909,0.05667418859091909,0.018891396196973033,0.0,0.0,0.0,0.0,0.0,0.0
"Sirsa, HR",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03088531202658608,0.03088531202658608,0.03088531202658608,0.03088531202658608
"Sonipat, HR",71.0,0.04053834927841738,0.09458948164964055,0.054051132371223186,0.054051132371223186,0.13512783092805794,0.14864061402086376,0.12161504783525216,0.14864061402086376,0.16215339711366952,0.08107669855683476,0.08107669855683476,0.054051132371223186,0.2702556618561159,0.6486135884546781
"Yamunanagar, HR",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016472266468560207,0.049416799405680625,0.049416799405680625
"Bilaspur (Chhattisgarh), HP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chamba, HP",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hamirpur (Himachal Pradesh), HP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kangra, HP",5.0,0.013269436573088388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
