id,value,district,per_outbreak_free_districts,per_outbreak_free_population
"district.Hamirpur(UP), UP",2,"Hamirpur(UP), UP",27,10
"district.Changlang, AR",1,"Changlang, AR",27,10
"district.Ghazipur, UP",11,"Ghazipur, UP",27,10
"district.Katihar, BR",13,"Katihar, BR",27,10
"district.Arwal, BR",13,"Arwal, BR",27,10
"district.Purbi-Singhbhum, JH",1,"Purbi-Singhbhum, JH",27,10
"district.Srikakulam, AP",6,"Srikakulam, AP",27,10
"district.Panna, MP",2,"Panna, MP",27,10
"district.Narsinghpur, MP",1,"Narsinghpur, MP",27,10
"district.Sheohar, BR",4,"Sheohar, BR",27,10
"district.Jhunjhunu, RJ",48,"Jhunjhunu, RJ",27,10
"district.Pudukkottai, TN",7,"Pudukkottai, TN",27,10
"district.Udalguri, AS",1,"Udalguri, AS",27,10
"district.The-Nilgiris, TN",1,"The-Nilgiris, TN",27,10
"district.Etawah, UP",3,"Etawah, UP",27,10
"district.Ranga-Reddy, TG",37,"Ranga-Reddy, TG",27,10
"district.Shi-Yomi, AR",1,"Shi-Yomi, AR",27,10
"district.Shivamogga, KA",9,"Shivamogga, KA",27,10
"district.Nawada, BR",25,"Nawada, BR",27,10
"district.Dimapur, NL",1,"Dimapur, NL",27,10
"district.West-Kameng, AR",1,"West-Kameng, AR",27,10
"district.East-Garo-Hills, ML",1,"East-Garo-Hills, ML",27,10
"district.Kondagaon, CT",1,"Kondagaon, CT",27,10
"district.Doda, JK",1,"Doda, JK",27,10
"district.Udham-Singh-Nagar, UT",14,"Udham-Singh-Nagar, UT",27,10
"district.Amethi, UP",12,"Amethi, UP",27,10
"district.South-Andaman, AN",33,"South-Andaman, AN",27,10
"district.Karbi-Anglong, AS",1,"Karbi-Anglong, AS",27,10
"district.Kannauj, UP",22,"Kannauj, UP",27,10
"district.Kolkata, WB",1127,"Kolkata, WB",27,10
"district.Chatra, JH",1,"Chatra, JH",27,10
"district.Jorhat, AS",4,"Jorhat, AS",27,10
"district.Kumuram-Bheem-Asifabad, TG",8,"Kumuram-Bheem-Asifabad, TG",27,10
"district.Malkangiri, OR",1,"Malkangiri, OR",27,10
"district.Chamarajanagara, KA",1,"Chamarajanagara, KA",27,10
"district.Yavatmal, MH",100,"Yavatmal, MH",27,10
"district.Kangra, HP",16,"Kangra, HP",27,10
"district.Tiruchirappalli, TN",66,"Tiruchirappalli, TN",27,10
"district.Jamtara, JH",3,"Jamtara, JH",27,10
"district.Jabalpur, MP",148,"Jabalpur, MP",27,10
"district.Firozpur, PB",45,"Firozpur, PB",27,10
"district.Agar-Malwa, MP",14,"Agar-Malwa, MP",27,10
"district.Bhadrak, OR",32,"Bhadrak, OR",27,10
"district.Shupiyan, JK",106,"Shupiyan, JK",27,10
"district.Jind, HR",19,"Jind, HR",27,10
"district.South-Goa, GA",2,"South-Goa, GA",27,10
"district.Rohtak, HR",8,"Rohtak, HR",27,10
"district.South-24-Parganas, WB",75,"South-24-Parganas, WB",27,10
"district.Mulugu, TG",3,"Mulugu, TG",27,10
"district.Lower-Siang, AR",1,"Lower-Siang, AR",27,10
"district.Gonda, UP",22,"Gonda, UP",27,10
"district.Barmer, RJ",9,"Barmer, RJ",27,10
"district.Dhubri, AS",6,"Dhubri, AS",27,10
"district.Yadadri-Bhuvanagiri, TG",13,"Yadadri-Bhuvanagiri, TG",27,10
"district.Rewa, MP",4,"Rewa, MP",27,10
"district.Faridabad, HR",120,"Faridabad, HR",27,10
"district.Pilibhit, UP",7,"Pilibhit, UP",27,10
"district.Pratapgarh(RJ), RJ",5,"Pratapgarh(RJ), RJ",27,10
"district.Dang, GJ",3,"Dang, GJ",27,10
"district.Ganganagar, RJ",1,"Ganganagar, RJ",27,10
"district.Sahibganj, JH",1,"Sahibganj, JH",27,10
"district.Buxar, BR",60,"Buxar, BR",27,10
"district.Satna, MP",8,"Satna, MP",27,10
"district.Gumla, JH",1,"Gumla, JH",27,10
"district.Punch, JK",1,"Punch, JK",27,10
"district.Sukma, CT",1,"Sukma, CT",27,10
"district.Dindori, MP",3,"Dindori, MP",27,10
"district.Cuddalore, TN",413,"Cuddalore, TN",27,10
"district.South-Salmara-Mancachar, AS",2,"South-Salmara-Mancachar, AS",27,10
