id,value,district,per_outbreak_free_districts,per_outbreak_free_population
"district.Bhiwani, HR",7,"Bhiwani, HR",27,10
"district.Mahabubnagar, TG",12,"Mahabubnagar, TG",27,10
"district.Moga, PB",60,"Moga, PB",27,10
"district.Chirang, AS",1,"Chirang, AS",27,10
"district.Jajapur, OR",72,"Jajapur, OR",27,10
"district.Kangpokpi, MN",1,"Kangpokpi, MN",27,10
"district.Kasganj, UP",8,"Kasganj, UP",27,10
"district.Tengnoupal, MN",1,"Tengnoupal, MN",27,10
"district.Palghar, MH",327,"Palghar, MH",27,10
"district.Hailakandi, AS",2,"Hailakandi, AS",27,10
"district.Pulwama, JK",14,"Pulwama, JK",27,10
"district.Dakshin-Bastar-Dantewada, CT",1,"Dakshin-Bastar-Dantewada, CT",27,10
"district.Bilaspur(HP), HP",3,"Bilaspur(HP), HP",27,10
"district.Krishna, AP",350,"Krishna, AP",27,10
"district.Chandigarh, CH",192,"Chandigarh, CH",27,10
"district.Wardha, MH",2,"Wardha, MH",27,10
"district.Guntur, AP",400,"Guntur, AP",27,10
"district.Ballia, UP",2,"Ballia, UP",27,10
"district.Lahul-and-Spiti, HP",1,"Lahul-and-Spiti, HP",27,10
"district.Satara, MH",126,"Satara, MH",27,10
"district.Subarnapur, OR",1,"Subarnapur, OR",27,10
"district.Bidar, KA",42,"Bidar, KA",27,10
"district.Sidhi, MP",2,"Sidhi, MP",27,10
"district.Bilaspur, CT",1,"Bilaspur, CT",27,10
"district.Baudh, OR",1,"Baudh, OR",27,10
"district.Namakkal, TN",78,"Namakkal, TN",27,10
"district.Jammu, JK",39,"Jammu, JK",27,10
"district.Yanam, PY",1,"Yanam, PY",27,10
"district.Khandwa, MP",81,"Khandwa, MP",27,10
"district.Siddharthnagar, UP",31,"Siddharthnagar, UP",27,10
"district.Budaun, UP",18,"Budaun, UP",27,10
"district.West-Siang, AR",1,"West-Siang, AR",27,10
"district.Bengaluru, KA",185,"Bengaluru, KA",27,10
"district.Warangal-Urban, TG",28,"Warangal-Urban, TG",27,10
"district.Chota-Udaipur, GJ",18,"Chota-Udaipur, GJ",27,10
"district.Mirpur, JK",1,"Mirpur, JK",27,10
"district.Maldah, WB",20,"Maldah, WB",27,10
"district.Banda, UP",22,"Banda, UP",27,10
"district.Jhalawar, RJ",48,"Jhalawar, RJ",27,10
"district.North-Garo-Hills, ML",1,"North-Garo-Hills, ML",27,10
"district.Aurangabad(BR), BR",19,"Aurangabad(BR), BR",27,10
"district.Hojai, AS",1,"Hojai, AS",27,10
"district.Navsari, GJ",9,"Navsari, GJ",27,10
"district.Sambhal, UP",31,"Sambhal, UP",27,10
"district.Jalna, MH",17,"Jalna, MH",27,10
"district.Nalbari, AS",5,"Nalbari, AS",27,10
"district.Champhai, MZ",1,"Champhai, MZ",27,10
"district.Upper-Subansiri, AR",1,"Upper-Subansiri, AR",27,10
"district.Narayanpur, CT",1,"Narayanpur, CT",27,10
"district.Aurangabad(MH), MH",681,"Aurangabad(MH), MH",27,10
"district.East-Singhbhum, JH",2,"East-Singhbhum, JH",27,10
"district.Nagapattinam, TN",48,"Nagapattinam, TN",27,10
"district.Varanasi, UP",91,"Varanasi, UP",27,10
"district.Udhampur, JK",23,"Udhampur, JK",27,10
"district.Bara-Banki, UP",8,"Bara-Banki, UP",27,10
"district.Surguja, CT",1,"Surguja, CT",27,10
"district.Morbi, GJ",3,"Morbi, GJ",27,10
"district.Bhagalpur, BR",33,"Bhagalpur, BR",27,10
"district.Parbhani, MH",3,"Parbhani, MH",27,10
"district.Chandauli, UP",2,"Chandauli, UP",27,10
"district.Sipahijala, TR",1,"Sipahijala, TR",27,10
"district.Ariyalur, TN",339,"Ariyalur, TN",27,10
"district.Dhalai, TR",151,"Dhalai, TR",27,10
"district.Ernakulam, KL",28,"Ernakulam, KL",27,10
"district.Kakching, MN",1,"Kakching, MN",27,10
"district.Hardoi, UP",5,"Hardoi, UP",27,10
"district.Sirsa, HR",8,"Sirsa, HR",27,10
"district.Ajmer, RJ",236,"Ajmer, RJ",27,10
"district.South-Garo-Hills, ML",1,"South-Garo-Hills, ML",27,10
"district.Giridih, JH",8,"Giridih, JH",27,10
"district.Vadodara, GJ",593,"Vadodara, GJ",27,10
"district.Mamit, MZ",1,"Mamit, MZ",27,10
"district.Lakhimpur, AS",2,"Lakhimpur, AS",27,10
"district.Budgam, JK",54,"Budgam, JK",27,10
"district.Balangir, OR",3,"Balangir, OR",27,10
"district.Gopalganj, BR",25,"Gopalganj, BR",27,10
"district.Thrissur, KL",16,"Thrissur, KL",27,10
"district.Belagavi, KA",114,"Belagavi, KA",27,10
"district.Jhajjar, HR",85,"Jhajjar, HR",27,10
"district.Tonk, RJ",145,"Tonk, RJ",27,10
"district.Kodarma, JH",5,"Kodarma, JH",27,10
"district.Vaishali, BR",5,"Vaishali, BR",27,10
"district.Khordha, OR",51,"Khordha, OR",27,10
"district.Nandurbar, MH",23,"Nandurbar, MH",27,10
"district.Darbhanga, BR",17,"Darbhanga, BR",27,10
"district.Upper-Dibang-Valley, AR",1,"Upper-Dibang-Valley, AR",27,10
"district.Khargone, MP",96,"Khargone, MP",27,10
"district.Murshidabad, WB",6,"Murshidabad, WB",27,10
"district.Tirap, AR",1,"Tirap, AR",27,10
"district.Jalandhar, PB",199,"Jalandhar, PB",27,10
"district.Longleng, NL",1,"Longleng, NL",27,10
"district.Ashoknagar, MP",3,"Ashoknagar, MP",27,10
"district.Hnahthial, MZ",1,"Hnahthial, MZ",27,10
"district.Washim, MH",4,"Washim, MH",27,10
"district.Ganjam, OR",211,"Ganjam, OR",27,10
"district.Rajanna-Sircilla, TG",4,"Rajanna-Sircilla, TG",27,10
"district.Ganderbal, JK",24,"Ganderbal, JK",27,10
"district.Kendrapara, OR",10,"Kendrapara, OR",27,10
"district.East-Siang, AR",1,"East-Siang, AR",27,10
"district.Tirunelveli, TN",102,"Tirunelveli, TN",27,10
"district.Siddipet, TG",2,"Siddipet, TG",27,10
"district.Samba, JK",12,"Samba, JK",27,10
"district.Rajnandgaon, CT",2,"Rajnandgaon, CT",27,10
"district.Saraikela-kharsawan, JH",1,"Saraikela-kharsawan, JH",27,10
"district.Lepa-Rada, AR",1,"Lepa-Rada, AR",27,10
"district.Delhi, DL",7999,"Delhi, DL",27,10
"district.Lower-Subansiri, AR",1,"Lower-Subansiri, AR",27,10
"district.S.P.S.-Nellore, AP",112,"S.P.S.-Nellore, AP",27,10
"district.West-Champaran, BR",26,"West-Champaran, BR",27,10
"district.Hanumangarh, RJ",13,"Hanumangarh, RJ",27,10
"district.Other-Region, MP",1,"Other-Region, MP",27,10
"district.Madurai, TN",125,"Madurai, TN",27,10
"district.Kishanganj, BR",10,"Kishanganj, BR",27,10
"district.Nainital, UT",12,"Nainital, UT",27,10
"district.Damoh, MP",1,"Damoh, MP",27,10
"district.Theni, TN",73,"Theni, TN",27,10
"district.Gautam-Buddha-Nagar, UP",250,"Gautam-Buddha-Nagar, UP",27,10
"district.Banas-Kantha, GJ",83,"Banas-Kantha, GJ",27,10
"district.Bhavnagar, GJ",101,"Bhavnagar, GJ",27,10
"district.Ramanathapuram, TN",32,"Ramanathapuram, TN",27,10
"district.Aurangabad, BR",1,"Aurangabad, BR",27,10
"district.Karaikal, PY",2,"Karaikal, PY",27,10
"district.S.A.S.-Nagar, PB",103,"S.A.S.-Nagar, PB",27,10
"district.East-Champaran, BR",16,"East-Champaran, BR",27,10
"district.West-Singhbhum, JH",1,"West-Singhbhum, JH",27,10
"district.Mau, UP",2,"Mau, UP",27,10
"district.Thiruvallur, TN",496,"Thiruvallur, TN",27,10
"district.Rajsamand, RJ",27,"Rajsamand, RJ",27,10
"district.Srinagar, JK",137,"Srinagar, JK",27,10
"district.Puducherry, PY",11,"Puducherry, PY",27,10
"district.Indore, MP",2108,"Indore, MP",27,10
"district.Valsad, GJ",7,"Valsad, GJ",27,10
"district.Kandhamal, OR",1,"Kandhamal, OR",27,10
"district.Phek, NL",1,"Phek, NL",27,10
"district.Shahid-Bhagat-Singh-Nagar, PB",105,"Shahid-Bhagat-Singh-Nagar, PB",27,10
"district.Peren, NL",1,"Peren, NL",27,10
"district.Betul, MP",2,"Betul, MP",27,10
"district.Hisar, HR",5,"Hisar, HR",27,10
"district.Bijnor, UP",45,"Bijnor, UP",27,10
"district.Gaya, BR",9,"Gaya, BR",27,10
"district.Burhanpur, MP",61,"Burhanpur, MP",27,10
"district.Balrampur(CT), CT",1,"Balrampur(CT), CT",27,10
"district.Jalpaiguri, WB",5,"Jalpaiguri, WB",27,10
"district.Uttar-Dinajpur, WB",5,"Uttar-Dinajpur, WB",27,10
"district.Saran, BR",11,"Saran, BR",27,10
"district.Rudraprayag, UT",1,"Rudraprayag, UT",27,10
"district.Sultanpur, UP",10,"Sultanpur, UP",27,10
"district.Gorakhpur, UP",7,"Gorakhpur, UP",27,10
"district.Nirmal, TG",21,"Nirmal, TG",27,10
"district.Bhilwara, RJ",44,"Bhilwara, RJ",27,10
"district.Kaimur-Bhabhua, BR",34,"Kaimur-Bhabhua, BR",27,10
"district.Golaghat, AS",10,"Golaghat, AS",27,10
"district.Namsai, AR",1,"Namsai, AR",27,10
"district.Mancherial, TG",2,"Mancherial, TG",27,10
"district.Shajapur, MP",9,"Shajapur, MP",27,10
"district.Patan, GJ",32,"Patan, GJ",27,10
"district.Visakhapatnam, AP",67,"Visakhapatnam, AP",27,10
"district.Jhansi, UP",31,"Jhansi, UP",27,10
"district.Y.S.R., AP",98,"Y.S.R., AP",27,10
"district.Chikkamagaluru, KA",1,"Chikkamagaluru, KA",27,10
"district.Mansa, PB",33,"Mansa, PB",27,10
"district.Bharatpur, RJ",122,"Bharatpur, RJ",27,10
"district.Farrukhabad, UP",9,"Farrukhabad, UP",27,10
"district.Mumbai, MH",15748,"Mumbai, MH",27,10
"district.Kokrajhar, AS",2,"Kokrajhar, AS",27,10
"district.Airport-Quarantine, TN",10,"Airport-Quarantine, TN",27,10
"district.Rampur, UP",32,"Rampur, UP",27,10
"district.Kamjong, MN",1,"Kamjong, MN",27,10
"district.Kasaragod, KL",184,"Kasaragod, KL",27,10
"district.Ribhoi, ML",1,"Ribhoi, ML",27,10
"district.Gandhinagar, GJ",143,"Gandhinagar, GJ",27,10
"district.Kolhapur, MH",23,"Kolhapur, MH",27,10
"district.Bastar, CT",1,"Bastar, CT",27,10
"district.Faridkot, PB",47,"Faridkot, PB",27,10
"district.Nicobars, AN",1,"Nicobars, AN",27,10
"district.Anantnag, JK",146,"Anantnag, JK",27,10
"district.Kupwara, JK",84,"Kupwara, JK",27,10
"district.Bargarh, OR",1,"Bargarh, OR",27,10
"district.Chennai, TN",5263,"Chennai, TN",27,10
"district.Bhind, MP",10,"Bhind, MP",27,10
"district.Faizabad, UP",2,"Faizabad, UP",27,10
"district.Adilabad, TG",22,"Adilabad, TG",27,10
"district.Bishnupur, MN",1,"Bishnupur, MN",27,10
"district.Karur, TN",54,"Karur, TN",27,10
"district.Churu, RJ",28,"Churu, RJ",27,10
"district.Khagaria, BR",31,"Khagaria, BR",27,10
"district.Osmanabad, MH",5,"Osmanabad, MH",27,10
"district.Dhemaji, AS",1,"Dhemaji, AS",27,10
"district.Kohima, NL",1,"Kohima, NL",27,10
"district.Kolasib, MZ",1,"Kolasib, MZ",27,10
"district.Begusarai, BR",48,"Begusarai, BR",27,10
"district.Tarn-Taran, PB",159,"Tarn-Taran, PB",27,10
"district.Sonbhadra, UP",2,"Sonbhadra, UP",27,10
"district.Sirmaur, HP",3,"Sirmaur, HP",27,10
"district.Sitamarhi, BR",8,"Sitamarhi, BR",27,10
"district.Mahrajganj, UP",10,"Mahrajganj, UP",27,10
"district.Vijayapura, KA",53,"Vijayapura, KA",27,10
"district.Charki-Dadri, HR",5,"Charki-Dadri, HR",27,10
"district.Sivasagar, AS",1,"Sivasagar, AS",27,10
"district.Patna, BR",100,"Patna, BR",27,10
"district.Anantapur, AP",119,"Anantapur, AP",27,10
"district.Mandla, MP",2,"Mandla, MP",27,10
"district.Araria, BR",5,"Araria, BR",27,10
"district.Medinipur-West, WB",20,"Medinipur-West, WB",27,10
"district.Jaunpur, UP",13,"Jaunpur, UP",27,10
"district.Panchkula, HR",24,"Panchkula, HR",27,10
"district.Surendranagar, GJ",4,"Surendranagar, GJ",27,10
"district.Kamrup, AS",3,"Kamrup, AS",27,10
"district.Dharwad, KA",22,"Dharwad, KA",27,10
"district.Gurdaspur, PB",122,"Gurdaspur, PB",27,10
"district.Chittoor, AP",143,"Chittoor, AP",27,10
"district.Chitradurga, KA",8,"Chitradurga, KA",27,10
"district.Sheikhpura, BR",11,"Sheikhpura, BR",27,10
"district.Aligarh, UP",64,"Aligarh, UP",27,10
"district.Serchhip, MZ",1,"Serchhip, MZ",27,10
"district.Solapur, MH",321,"Solapur, MH",27,10
"district.Ghaziabad, UP",151,"Ghaziabad, UP",27,10
"district.Baksa, AS",1,"Baksa, AS",27,10
"district.Kalimpong, WB",8,"Kalimpong, WB",27,10
"district.Korba, CT",29,"Korba, CT",27,10
"district.Sitapur, UP",27,"Sitapur, UP",27,10
"district.Nalgonda, TG",18,"Nalgonda, TG",27,10
"district.North--District, SK",1,"North--District, SK",27,10
"district.Nuh, HR",61,"Nuh, HR",27,10
"district.Amritsar, PB",299,"Amritsar, PB",27,10
"district.Jaipur, RJ",1343,"Jaipur, RJ",27,10
"district.Jalor, RJ",43,"Jalor, RJ",27,10
"district.Kra-Daadi, AR",1,"Kra-Daadi, AR",27,10
"district.Medinipur-East, WB",48,"Medinipur-East, WB",27,10
"district.Tamenglong, MN",1,"Tamenglong, MN",27,10
"district.Shahjahanpur, UP",2,"Shahjahanpur, UP",27,10
"district.Champawat, UT",1,"Champawat, UT",27,10
"district.Nagpur, MH",318,"Nagpur, MH",27,10
"district.Suryapet, TG",84,"Suryapet, TG",27,10
"district.Kanniyakumari, TN",28,"Kanniyakumari, TN",27,10
"district.Nadia, WB",11,"Nadia, WB",27,10
"district.Banswara, RJ",69,"Banswara, RJ",27,10
"district.Chandel, MN",1,"Chandel, MN",27,10
"district.Dindigul, TN",112,"Dindigul, TN",27,10
"district.Hoshiarpur, PB",93,"Hoshiarpur, PB",27,10
"district.Deoghar, JH",5,"Deoghar, JH",27,10
"district.Wanaparthy, TG",1,"Wanaparthy, TG",27,10
"district.Purulia, WB",1,"Purulia, WB",27,10
"district.Muzaffarabad, JK",1,"Muzaffarabad, JK",27,10
"district.Chitrakoot, UP",9,"Chitrakoot, UP",27,10
"district.Azamgarh, UP",10,"Azamgarh, UP",27,10
"district.Mon, NL",1,"Mon, NL",27,10
"district.Balrampur, CT",1,"Balrampur, CT",27,10
"district.Porbandar, GJ",4,"Porbandar, GJ",27,10
"district.North-Tripura, TR",3,"North-Tripura, TR",27,10
"district.Rae-Bareli, UP",51,"Rae-Bareli, UP",27,10
"district.Pathankot, PB",30,"Pathankot, PB",27,10
"district.Dibrugarh, AS",1,"Dibrugarh, AS",27,10
"district.Mandya, KA",32,"Mandya, KA",27,10
"district.Puri, OR",5,"Puri, OR",27,10
"district.Goalpara, AS",7,"Goalpara, AS",27,10
"district.Raisen, MP",66,"Raisen, MP",27,10
"district.Paschim-Bardhaman, WB",15,"Paschim-Bardhaman, WB",27,10
"district.Kurnool, AP",592,"Kurnool, AP",27,10
"district.Bijapur(CT), CT",1,"Bijapur(CT), CT",27,10
"district.Sheopur, MP",5,"Sheopur, MP",27,10
"district.Junagadh, GJ",5,"Junagadh, GJ",27,10
"district.Palamu, JH",9,"Palamu, JH",27,10
"district.Reasi, JK",4,"Reasi, JK",27,10
"district.Hamirpur(HP), HP",7,"Hamirpur(HP), HP",27,10
"district.Lakshadweep, LD",1,"Lakshadweep, LD",27,10
"district.Basti, UP",42,"Basti, UP",27,10
"district.Bareilly, UP",12,"Bareilly, UP",27,10
"district.Palwal, HR",38,"Palwal, HR",27,10
"district.Majuli, AS",1,"Majuli, AS",27,10
"district.Baghpat, UP",26,"Baghpat, UP",27,10
"district.Raigarh(CG), CT",1,"Raigarh(CG), CT",27,10
"district.Amravati, MH",90,"Amravati, MH",27,10
"district.Sikar, RJ",13,"Sikar, RJ",27,10
"district.Mahendragarh, HR",6,"Mahendragarh, HR",27,10
"district.Patiala, PB",100,"Patiala, PB",27,10
"district.Kargil, LA",10,"Kargil, LA",27,10
"district.Sagar, MP",11,"Sagar, MP",27,10
"district.Nashik, MH",752,"Nashik, MH",27,10
"district.Pune, MH",3162,"Pune, MH",27,10
"district.Uttara-Kannada, KA",42,"Uttara-Kannada, KA",27,10
