,total_case_count,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04
"Ramanathapuram, TN",21.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,21.43,27.14,27.14,33.27,33.27,33.27,33.27,13.27,7.55,7.55,2.73,5.11,5.11,6.13,4.7,4.7,4.7,6.26,3.88,5.46,4.44,5.16
"Salem, TN",33.0,,,,,,,,,,,,,,,,,,2.86,2.86,4.76,6.55,11.31,11.31,11.31,12.5,13.6,8.84,7.05,6.37,6.37,7.16,8.23,8.43,8.43,8.43,4.35,4.35,3.55,1.3,2.98,3.47,3.47,3.94,3.94,3.94,3.94,1.43,0.94,1.38,0.91,0.91
"Sivaganga, TN",12.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.86,2.86,2.86,2.86,12.38,13.81,13.81,10.95,10.95,10.95,10.95,2.73,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thanjavur, TN",58.0,,,,,,,,,,,,,,,,,,,,,0.0,57.14,65.71,71.07,71.07,71.07,71.07,71.07,13.93,5.36,5.19,6.15,7.04,21.33,21.75,25.83,25.83,21.59,22.42,21.79,7.5,7.08,3.0,3.0,2.05,0.26,0.0,0.52,0.52,0.52,0.77
"The Nilgiris, TN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Theni, TN",44.0,,,,,,,,,,,,,,,,,,,,,,,,,12.22,12.58,11.86,10.5,9.88,9.88,9.88,0.71,0.35,1.03,1.03,1.03,1.03,1.03,0.68,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thiruvallur, TN",81.0,,,,,,,,,,,,,,,,,,,,,,,,,,145.35,145.35,20.07,19.27,21.17,21.17,22.92,23.27,24.97,7.39,6.9,5.6,5.6,3.24,2.89,1.75,1.75,2.02,1.41,1.41,1.09,1.35,2.32,4.17,4.31,6.09
"Thiruvarur, TN",32.0,,,,,,,,,,,,,,,,,,,,,,,,,45.92,11.39,1.19,1.19,1.19,4.49,4.49,6.27,5.08,8.26,8.26,11.5,8.74,9.25,7.46,7.95,4.78,4.78,1.53,1.0,0.49,0.49,0.0,0.0,0.0,0.0,0.95
"Thoothukkudi, TN",27.0,,,,,,,,,,,,,,,,,,,,,,,,60.49,31.92,26.6,16.47,16.47,13.29,14.48,6.69,6.69,2.49,1.19,1.19,1.19,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tiruchirappalli, TN",55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.97,16.44,5.51,5.51,2.66,2.66,3.65,2.46,1.0,2.24,2.24,2.52,2.52,1.53,1.53,1.53,0.29,0.29,0.0,0.0,0.0,0.0,0.0,1.12
"Tirunelveli, TN",65.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,7.86,5.64,10.59,7.73,7.33,6.95,6.95,6.95,5.69,0.49,0.49,0.96,1.43,1.43,1.43,1.18,1.16,1.16,0.68,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,0.0
"Tiruppur, TN",114.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,28.57,28.57,47.62,74.15,75.58,78.18,78.18,49.6,68.83,54.0,27.47,26.04,23.63,23.63,28.63,9.4,5.31,5.31,5.31,5.26,5.26,0.26,0.52,0.39,0.39,0.39,0.26,0.26,0.51,0.26,0.26
"Tiruvannamalai, TN",23.0,,,,,,,,,,,,,,,,,,,,,,,,32.14,17.86,17.86,20.71,23.1,8.81,7.28,7.28,7.28,7.28,4.42,2.04,2.04,0.0,0.0,1.79,1.79,3.37,4.8,4.8,4.8,4.8,3.02,3.02,1.43,0.0,1.3,14.39
"Vellore, TN",23.0,,,,,,,,,,,,,,,,,,,,,28.57,38.1,38.1,38.1,40.95,52.86,52.86,24.29,16.06,20.82,20.82,18.86,9.47,11.62,11.62,10.32,5.56,5.56,4.66,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Viluppuram, TN",139.0,,,,,,,,,,,,,,,,,,,,,,,,54.57,57.43,57.43,11.6,10.5,5.39,4.64,4.64,1.79,2.31,1.55,1.55,4.88,6.04,7.47,7.79,7.58,6.56,6.87,4.76,3.88,2.45,2.67,2.36,2.62,2.83,9.88,17.38
"Virudhunagar, TN",34.0,,,,,,,,,,,,,,,,,,,,,130.0,130.0,130.0,130.0,130.0,1.43,0.0,0.0,0.0,7.79,7.79,7.79,7.79,7.79,7.79,9.47,1.68,1.68,1.68,3.94,4.59,5.83,8.15,8.15,8.15,8.15,5.89,5.24,4.0,0.0,0.89
"Tenkasi, TN",46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.57,50.48,55.67,45.19,48.2,29.88,27.02,27.53,16.12,13.31,9.5,6.49,3.38,3.38,2.87,2.38,0.0,0.82,4.29
"Chengalpattu, TN",94.0,,,,,,,,,,,,,,,,,33.33,58.33,67.42,38.85,38.85,41.23,42.59,37.83,12.83,6.23,12.58,12.94,11.27,10.59,10.59,11.57,9.08,2.73,2.37,2.57,1.89,2.74,1.77,2.04,2.04,2.3,1.39,1.39,3.65,4.5,5.24,6.74,7.33,7.49,8.13
"Ranipet, TN",42.0,,,,,,,,,,,,,,,,,,0.0,57.14,57.14,108.57,109.81,109.81,110.96,110.96,53.81,58.58,7.15,6.7,6.7,5.56,5.56,5.56,0.79,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.38,0.38,1.47
"Kallakurichi, TN",15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14,7.14,7.14,7.14,7.14,0.0,0.0,0.0,0.0,0.0,9.52,9.52,9.52,9.52,9.52,12.38,12.38,10.0,10.0,10.0,10.0,10.0,16.67,16.67
"Tirupathur, TN",19.0,,,,,,,,,,,,,,,,,,,,,,,,,7.55,7.92,7.92,7.92,7.92,7.39,7.39,7.39,0.89,0.89,0.89,0.89,0.0,0.0,0.0,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.0,0.0,0.0,0.0,0.79
"Adilabad, TG",19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.86,72.86,58.57,58.57,58.57,1.43,0.0,6.49,6.49,8.28,8.28,8.28,8.28,8.28,1.79,1.79,0.0,0.0,0.79,0.79,0.79,0.79,0.79
"Bhadradri Kothagudem, TG",4.0,,,,,,,,,,,,,,,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,4.76,4.76,4.76,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hyderabad, TG",607.0,21.43,26.19,29.76,52.62,55.92,56.81,44.2,40.82,39.03,36.45,14.51,12.51,17.18,17.78,14.76,13.43,16.64,20.59,22.56,17.6,15.31,19.4,17.76,14.76,10.08,7.01,6.42,6.99,2.77,5.41,6.18,6.2,7.42,9.37,9.86,10.43,8.15,6.72,6.78,5.72,3.77,2.87,1.98,1.67,1.28,1.01,0.65,0.78,1.0,1.2,1.22
"Jagtial, TG",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,28.57,28.57,28.57,28.57
"Jangaon, TG",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,21.43,21.43,21.43,21.43,21.43,21.43,7.14,0.0,0.0,0.0,0.0
"Jayashankar Bhupalapally, TG",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,21.43,21.43,21.43,21.43,21.43
"Jogulamba Gadwal, TG",45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,130.16,130.16,130.16,15.87,1.59,2.3,2.3,0.71,5.48,5.48,5.48,6.5,6.73,11.2,11.88,7.12,7.12,7.12,6.1,5.14,1.0,0.32,0.32,0.32,0.32
"Kamareddy, TG",12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.16,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
