country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
Colombia,210.0,235.0,306.0,378.0,470.0,491.0,539.0,608.0,702.0,798.0,906.0,1065.0,1161.0,1267.0,1406.0,1485.0,1579.0,1780.0,2054.0,2223.0,2473.0,2709.0,2776.0,2852.0,2979.0,3105.0,3233.0,3439.0,3621.0,3792.0,3977.0,4149.0,4356.0,4561.0,4881.0,5142.0,5379.0,5597.0,5949.0,6211.0,6507.0,7006.0,7285.0,7668.0,7973.0,8613.0,8959.0,9456.0,10051.0,10495.0,11063.0,11613.0,12272.0,12930.0,13610.0,14216.0,14939.0,15574.0,16295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,262.0,400.0,684.0,847.0,902.0,1139.0,1296.0,1567.0,2369.0,3062.0,3795.0,4838.0,6012.0,7156.0,8198.0,14138.0,18187.0,21463.0,24774.0,29212.0,31554.0,36508.0,42288.0,48582.0,52547.0,57298.0,61913.0,67366.0,73522.0,79696.0,85778.0,91714.0,95391.0,99225.0,103228.0,108202.0,113525.0,117658.0,120479.0,123016.0,125098.0,127584.0,130450.0,133830.0,137439.0,139897.0,141672.0,143457.0,145694.0,148046.0,150383.0,152438.0,154175.0,155193.0,156337.0,157641.0,159119.0,159119.0,161703.0,162496.0,163175.0,163860.0,164897.0,166091.0,167300.0,168551.0,169218.0,169575.0,170508.0,171306.0,172239.0,173152.0,173772.0,174355.0,174697.0,175210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,264.0,516.0,676.0,804.0,827.0,875.0,932.0,1024.0,1115.0,1151.0,1255.0,1326.0,1395.0,1460.0,1591.0,1724.0,1877.0,2046.0,2201.0,2395.0,2577.0,2860.0,3107.0,3386.0,3757.0,4077.0,4369.0,4681.0,5071.0,5402.0,5635.0,5819.0,5996.0,6174.0,6318.0,6511.0,6681.0,6879.0,7073.0,7242.0,7384.0,7515.0,7695.0,7912.0,8073.0,8210.0,8445.0,8575.0,8698.0,8851.0,9008.0,9158.0,9311.0,9407.0,9523.0,9670.0,9821.0,9983.0,10083.0,10218.0,10319.0,10429.0,10513.0,10591.0,10667.0,10713.0,10791.0,10858.0,10927.0,10968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,202.0,245.0,312.0,392.0,488.0,581.0,719.0,859.0,901.0,1109.0,1284.0,1380.0,1488.0,1578.0,1745.0,1828.0,1956.0,2111.0,2349.0,2620.0,2759.0,2967.0,3167.0,3286.0,3614.0,3755.0,4126.0,4335.0,4680.0,4964.0,5044.0,5300.0,5543.0,5749.0,5926.0,6135.0,6135.0,6416.0,6652.0,6972.0,7288.0,7578.0,7954.0,8235.0,8480.0,8807.0,9095.0,9376.0,9882.0,10347.0,10634.0,10900.0,11196.0,11320.0,11739.0,11893.0,12314.0,12725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,426.0,532.0,789.0,981.0,1082.0,1211.0,1403.0,1627.0,1835.0,1890.0,1966.0,2302.0,2758.0,3163.0,3368.0,3465.0,3646.0,3747.0,3995.0,4450.0,4965.0,7161.0,7257.0,7466.0,7529.0,7603.0,7858.0,8225.0,8450.0,9022.0,9468.0,10128.0,10398.0,10850.0,11183.0,11183.0,11183.0,22719.0,23240.0,24258.0,24675.0,24934.0,26336.0,27464.0,29538.0,31881.0,31881.0,29420.0,30298.0,28818.0,29071.0,29559.0,29509.0,30419.0,30486.0,30502.0,31467.0,32763.0,33182.0,33582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,210.0,256.0,285.0,294.0,327.0,366.0,442.0,456.0,495.0,536.0,576.0,609.0,656.0,710.0,779.0,779.0,985.0,1070.0,1073.0,1322.0,1560.0,1699.0,1794.0,1939.0,2065.0,2190.0,2350.0,2505.0,2673.0,2844.0,3032.0,3144.0,3333.0,3490.0,3490.0,3659.0,4092.0,4319.0,4319.0,4782.0,5042.0,5268.0,5537.0,5895.0,6193.0,6465.0,6813.0,7201.0,7588.0,7981.0,8476.0,8964.0,9400.0,9746.0,10093.0,10431.0,10829.0,11228.0,11719.0,12229.0,12764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,267.0,348.0,531.0,764.0,1094.0,1527.0,2299.0,3274.0,4427.0,5958.0,7641.0,9785.0,11491.0,13994.0,17688.0,21735.0,26304.0,31750.0,36616.0,41262.0,48953.0,57506.0,66460.0,75641.0,83885.0,90309.0,96122.0,104267.0,111680.0,119263.0,126535.0,133198.0,138731.0,142398.0,147607.0,153190.0,158935.0,163472.0,168022.0,171921.0,174951.0,178067.0,182491.0,186311.0,190129.0,193965.0,193252.0,195470.0,198421.0,200733.0,203649.0,205763.0,208269.0,209910.0,211570.0,213095.0,213942.0,215183.0,216570.0,217804.0,218739.0,219205.0,220244.0,221124.0,222045.0,223218.0,223961.0,227377.0,227770.0,228252.0,228691.0,229540.0,230183.0,230698.0,231350.0,231606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,212.0,285.0,423.0,613.0,716.0,1126.0,1412.0,1784.0,2281.0,2876.0,3661.0,4499.0,5423.0,6633.0,7730.0,9134.0,10995.0,12612.0,14459.0,16018.0,19856.0,22302.0,25233.0,29155.0,32964.0,37575.0,40174.0,44550.0,52128.0,56989.0,59105.0,64338.0,68605.0,70478.0,74390.0,78167.0,82048.0,86334.0,90676.0,93790.0,95403.0,98076.0,103573.0,106206.0,108847.0,109252.0,111821.0,112606.0,114657.0,117324.0,119151.0,120804.0,122577.0,124114.0,124575.0,125770.0,126835.0,128442.0,129581.0,130185.0,130979.0,131287.0,131863.0,132967.0,137150.0,137779.0,138421.0,138854.0,139063.0,139519.0,140227.0,140734.0,141356.0,141919.0,142291.0,142411.0,142903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,206.0,273.0,321.0,373.0,456.0,590.0,707.0,1140.0,1391.0,1543.0,1950.0,2630.0,3277.0,3983.0,5018.0,5683.0,6650.0,8077.0,9529.0,11658.0,14543.0,17089.0,19522.0,22141.0,25150.0,29474.0,33718.0,38168.0,41903.0,47806.0,51608.0,55242.0,60733.0,65077.0,70272.0,78991.0,84279.0,88621.0,93873.0,98476.0,103093.0,108692.0,114217.0,120067.0,124743.0,129044.0,133495.0,138078.0,143464.0,148377.0,152840.0,157149.0,161145.0,165221.0,171253.0,177454.0,182260.0,186599.0,190584.0,194990.0,201201.0,206715.0,211364.0,215260.0,219183.0,223060.0,226463.0,229705.0,233151.0,236711.0,240161.0,243695.0,246406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,227.0,309.0,450.0,514.0,579.0,686.0,790.0,893.0,1046.0,1155.0,1285.0,1414.0,1528.0,1677.0,1790.0,1986.0,2092.0,2273.0,2491.0,2738.0,2956.0,3293.0,3512.0,3842.0,4241.0,4557.0,4839.0,5136.0,5516.0,5923.0,6248.0,6575.0,6760.0,7135.0,7418.0,7775.0,8211.0,8607.0,8882.0,9096.0,9511.0,9771.0,10118.0,10551.0,10843.0,11192.0,11587.0,12071.0,12438.0,12776.0,13112.0,13645.0,14032.0,14265.0,14749.0,15438.0,16006.0,16496.0,17025.0,17514.0,18010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
