country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
Poland,238.0,287.0,355.0,425.0,536.0,634.0,749.0,901.0,1051.0,1221.0,1389.0,1638.0,1862.0,2055.0,2311.0,2554.0,2946.0,3383.0,3627.0,4102.0,4413.0,4848.0,5205.0,5575.0,5955.0,6356.0,6674.0,6934.0,7202.0,7582.0,7918.0,8379.0,8742.0,9287.0,9593.0,9856.0,10169.0,10511.0,10892.0,11273.0,11617.0,11902.0,12218.0,12640.0,12877.0,13105.0,13375.0,13693.0,14006.0,14431.0,14740.0,15047.0,15366.0,15651.0,15996.0,16326.0,16921.0,17204.0,17615.0,18016.0,18257.0,18529.0,18885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,245.0,331.0,448.0,642.0,785.0,1020.0,1280.0,1600.0,2060.0,2362.0,2995.0,3544.0,4268.0,5170.0,5962.0,6408.0,7443.0,8251.0,9034.0,9886.0,10524.0,11278.0,11730.0,12442.0,13141.0,13956.0,15472.0,15987.0,16585.0,16934.0,17448.0,18091.0,18841.0,19022.0,19685.0,20206.0,20863.0,21379.0,21982.0,22353.0,23271.0,23683.0,23846.0,24144.0,24324.0,24692.0,24987.0,25351.0,25190.0,25524.0,25524.0,25702.0,26182.0,26715.0,27268.0,27406.0,27581.0,27679.0,27913.0,28132.0,28319.0,28583.0,28810.0,29036.0,29209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,262.0,320.0,337.0,401.0,439.0,442.0,452.0,460.0,470.0,481.0,494.0,501.0,526.0,537.0,549.0,562.0,590.0,634.0,693.0,781.0,835.0,949.0,949.0,1325.0,1604.0,1832.0,2057.0,2210.0,2376.0,2512.0,2728.0,2979.0,3231.0,3428.0,3711.0,4103.0,4663.0,5008.0,5448.0,6015.0,6533.0,7141.0,7764.0,8525.0,9358.0,10287.0,11244.0,11921.0,12564.0,13409.0,14096.0,14872.0,15551.0,16191.0,17142.0,17972.0,18890.0,20201.0,21331.0,22520.0,23623.0,25149.0,26539.0,28272.0,29425.0,30972.0,32604.0,33969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,217.0,260.0,277.0,308.0,367.0,433.0,576.0,762.0,906.0,1029.0,1292.0,1452.0,1760.0,1952.0,2245.0,2460.0,2738.0,3183.0,3613.0,3864.0,4057.0,4417.0,4761.0,5202.0,5467.0,5990.0,6300.0,6633.0,6879.0,7216.0,7707.0,8067.0,8418.0,8746.0,8936.0,9242.0,9710.0,10096.0,10417.0,10635.0,11036.0,11339.0,11616.0,11978.0,12240.0,12567.0,12732.0,13163.0,13512.0,13837.0,14107.0,14499.0,14811.0,15131.0,15362.0,15588.0,15778.0,16002.0,16247.0,16437.0,16704.0,16871.0,17036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,253.0,306.0,438.0,438.0,495.0,658.0,840.0,1036.0,1264.0,1534.0,1836.0,2337.0,2777.0,3548.0,4149.0,4731.0,5389.0,6343.0,7497.0,8672.0,10131.0,11917.0,13584.0,15770.0,18328.0,21102.0,24490.0,27938.0,32008.0,36793.0,42853.0,47121.0,52763.0,57999.0,62773.0,68622.0,74588.0,80949.0,87147.0,93558.0,99399.0,106498.0,114431.0,124054.0,134687.0,145268.0,155370.0,165929.0,177160.0,187859.0,198676.0,209688.0,221344.0,232243.0,242271.0,252245.0,262843.0,272043.0,281752.0,290678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,238.0,274.0,392.0,511.0,562.0,767.0,900.0,1012.0,1104.0,1203.0,1229.0,1453.0,1563.0,1720.0,1885.0,1885.0,2179.0,2385.0,2523.0,2795.0,2932.0,3287.0,3651.0,4033.0,4462.0,4934.0,5369.0,5862.0,6380.0,7142.0,8274.0,9362.0,10484.0,11631.0,12772.0,13930.0,15102.0,16299.0,17522.0,18811.0,20077.0,21402.0,22753.0,24097.0,25459.0,27011.0,28656.0,30251.0,31938.0,33731.0,35432.0,37136.0,39048.0,41014.0,42925.0,44830.0,46869.0,49176.0,52016.0,54752.0,57345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,200.0,214.0,226.0,243.0,266.0,313.0,345.0,385.0,432.0,455.0,509.0,558.0,568.0,594.0,732.0,803.0,844.0,844.0,879.0,1000.0,1049.0,1114.0,1189.0,1309.0,1375.0,1481.0,1623.0,1909.0,1909.0,2299.0,2532.0,2918.0,3252.0,3699.0,4427.0,5050.0,5992.0,6588.0,8014.0,9125.0,10141.0,11178.0,11178.0,12693.0,13624.0,14423.0,14951.0,15641.0,16169.0,17101.0,17548.0,18205.0,18778.0,19410.0,20198.0,20939.0,21707.0,22460.0,23336.0,23787.0,24671.0,25346.0,26098.0,26891.0,27356.0,28038.0,28343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,222.0,249.0,303.0,384.0,457.0,659.0,741.0,741.0,900.0,1060.0,1171.0,1476.0,1624.0,1908.0,2200.0,2447.0,2666.0,2867.0,3105.0,3380.0,3630.0,4054.0,4465.0,4873.0,5318.0,5690.0,5994.0,6318.0,6630.0,6890.0,7114.0,7276.0,7483.0,7779.0,8042.0,8275.0,8497.0,8724.0,9009.0,9205.0,9362.0,9464.0,9557.0,9677.0,9791.0,9848.0,9943.0,10032.0,10114.0,10176.0,10243.0,10295.0,10374.0,10438.0,10496.0,10610.0,10699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,203.0,248.0,326.0,462.0,620.0,775.0,924.0,1032.0,1121.0,1167.0,1301.0,1423.0,1623.0,1746.0,1906.0,2016.0,2272.0,2510.0,2806.0,3046.0,3447.0,3700.0,4028.0,4435.0,4947.0,5466.0,6078.0,6443.0,6830.0,7206.0,7693.0,8419.0,9141.0,9685.0,10151.0,10483.0,10948.0,11445.0,11927.0,12540.0,13216.0,13822.0,14385.0,14777.0,15322.0,16004.0,16755.0,17567.0,18177.0,18640.0,18926.0,19621.0,20302.0,21092.0,21520.0,22082.0,22317.0,22721.0,23216.0,23918.0,24623.0,25265.0,25921.0,26322.0,26670.0,27272.0,27909.0,28582.0,29207.0,29677.0,30143.0,30377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,359.0,670.0,947.0,1236.0,1529.0,1872.0,2433.0,3629.0,5698.0,7402.0,9217.0,10827.0,13531.0,15679.0,18135.0,20921.0,23934.0,27069.0,30217.0,34109.0,38226.0,42282.0,47029.0,52167.0,56956.0,61049.0,65111.0,69392.0,74193.0,78546.0,82329.0,86306.0,90980.0,95591.0,98674.0,101790.0,104912.0,107773.0,110130.0,112261.0,114653.0,117589.0,120204.0,122392.0,124375.0,126045.0,127659.0,129491.0,131744.0,133721.0,135569.0,137115.0,138657.0,139771.0,141475.0,143114.0,144749.0,146457.0,148067.0,149435.0,150593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,218.0,311.0,418.0,480.0,549.0,794.0,804.0,987.0,1096.0,1251.0,1319.0,1462.0,1668.0,1892.0,2203.0,2511.0,2777.0,3102.0,3372.0,4161.0,4462.0,5106.0,5449.0,5710.0,6125.0,6592.0,7170.0,7647.0,8125.0,8617.0,9009.0,9009.0,9410.0,9866.0,10406.0,10861.0,11411.0,11913.0,12331.0,12697.0,13184.0,13691.0,14195.0,14710.0,15232.0,15648.0,16023.0,16425.0,16847.0,17330.0,17858.0,18291.0,18616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,233.0,338.0,433.0,554.0,754.0,1025.0,1312.0,1663.0,2174.0,2951.0,3774.0,4661.0,6427.0,9415.0,14250.0,19624.0,26747.0,35206.0,46442.0,55231.0,69194.0,85991.0,104686.0,124665.0,143025.0,164620.0,189618.0,216721.0,245540.0,277965.0,312237.0,337635.0,368196.0,398809.0,432132.0,466033.0,501560.0,529951.0,557571.0,582594.0,609516.0,639664.0,671331.0,702164.0,735086.0,759687.0,787752.0,825041.0,842629.0,869172.0,890524.0,939053.0,965910.0,988451.0,1012583.0,1039909.0,1069826.0,1103781.0,1133069.0,1158041.0,1180634.0,1204475.0,1228603.0,1256972.0,1283929.0,1309541.0,1329799.0,1347916.0,1369964.0,1390746.0,1417889.0,1443397.0,1467884.0,1486757.0,1508598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,205.0,240.0,274.0,402.0,557.0,709.0,927.0,1170.0,1187.0,1280.0,1326.0,1353.0,1380.0,1462.0,1505.0,1585.0,1655.0,1686.0,1749.0,1845.0,1934.0,2003.0,2028.0,2173.0,2272.0,2415.0,2506.0,2605.0,2783.0,3034.0,3158.0,3300.0,3465.0,3635.0,3953.0,4220.0,4361.0,4546.0,4793.0,4996.0,5350.0,5647.0,5951.0,6336.0,6783.0,7220.0,7572.0,7808.0,8232.0,8895.0,9420.0,10015.0,10652.0,11350.0,12074.0,12739.0,13524.0,14355.0,15515.0,16433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
