district,state,cases,deaths,current_avg_growth_rate,day0,day1,day2,day3,day4,population,state_code,cases_per_million
Kaimur Bhabhua,Bihar,33.0,0.0,0.0,16.67,6.67,0.0,0.0,0.0,1626900.0,BR,20.283975659229206
Kaithal,Haryana,3.0,0.0,,,,,,,1072861.0,HR,2.7962615846787235
Kakching,Manipur,0.0,0.0,,,,,,,135481.0,MN,0.0
Kalaburagi,Karnataka,81.0,7.0,7.22,4.47,3.52,3.38,1.51,7.22,2564892.0,KA,31.58027706429744
Kalahandi,Odisha,2.0,0.0,,,,,,,1573054.0,OR,1.2714121702115757
Kalimpong,West Bengal,7.0,1.0,,,,,,,251642.0,WB,27.817295999872837
Kallakurichi,Tamil Nadu,57.0,0.0,5.26,21.86,16.02,11.82,8.59,5.26,1370281.0,TN,41.597307413588894
Kamareddy,Telangana,12.0,0.0,,,,,,,972625.0,TG,12.337745791029432
Kamjong,Manipur,0.0,0.0,,,,,,,45616.0,MN,0.0
Kamle,Arunachal Pradesh,0.0,0.0,,,,,,,22256.0,AR,0.0
Kamrup,Assam,2.0,0.0,,,,,,,1517202.0,AS,1.3182160318797365
Kamrup Metropolitan,Assam,21.0,1.0,45.67,,,,,45.67,1260419.0,AS,16.661126181055664
Kancheepuram,Tamil Nadu,157.0,1.0,11.65,36.61,38.18,9.63,13.17,11.65,1166401.0,TN,134.60207938779206
Kandhamal,Odisha,0.0,0.0,,,,,,,731952.0,OR,0.0
Kangpokpi,Manipur,0.0,0.0,,,,,,,,MN,
Kangra,Himachal Pradesh,15.0,1.0,39.89,,,,57.67,39.89,1507223.0,HP,9.952077429816288
Kannauj,Uttar Pradesh,21.0,0.0,,,,,,,1658005.0,UP,12.665824288829045
Kanniyakumari,Tamil Nadu,27.0,1.0,7.02,43.67,25.48,17.15,12.02,7.02,1863178.0,TN,14.491369047938525
Kannur,Kerala,117.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2525637.0,KL,46.32494693417938
Kanpur Dehat,Uttar Pradesh,4.0,1.0,,,,,,,1795092.0,UP,2.2282980482337402
Kanpur Nagar,Uttar Pradesh,308.0,6.0,2.67,6.0,6.12,4.73,3.79,2.67,4572951.0,UP,67.35256948959217
Kapurthala,Punjab,27.0,2.0,7.47,5.29,5.03,6.52,7.78,7.47,817668.0,PB,33.02073702285035
Karaikal,Puducherry,1.0,0.0,,,,,,,200222.0,PY,4.994456153669427
Karauli,Rajasthan,7.0,1.0,0.0,,,,20.0,0.0,1458459.0,RJ,4.799586412782259
Karbi Anglong,Assam,0.0,0.0,,,,,,,965280.0,AS,0.0
Kargil,Ladakh,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143388.0,LA,62.76675872457946
Karimganj,Assam,2.0,0.0,,,,,,,1217002.0,AS,1.6433826731591237
Karimnagar,Telangana,19.0,0.0,,,,,,,1016063.0,TG,18.699627877405238
Karnal,Haryana,15.0,1.0,9.58,,,14.91,12.91,9.58,1506323.0,HR,9.958023611137849
Karur,Tamil Nadu,53.0,0.0,15.67,,40.0,25.0,9.0,15.67,1076588.0,TN,49.229603153666964
Kasaragod,Kerala,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302600.0,KL,140.48825426070937
Kasganj,Uttar Pradesh,7.0,0.0,,,,,,,1438156.0,UP,4.867344015531
Kathua,Jammu and Kashmir,17.0,0.0,,,,,,,615711.0,JK,27.610356157353053
Katihar,Bihar,12.0,0.0,4.59,31.44,12.62,9.73,7.45,4.59,3068149.0,BR,3.911152945961881
Katni,Madhya Pradesh,0.0,0.0,,,,,,,1291684.0,MP,0.0
Kaushambi,Uttar Pradesh,5.0,0.0,,,,,,,1596909.0,UP,3.131048794890629
Kendrapara,Odisha,9.0,0.0,10.19,,,,30.19,10.19,1439891.0,OR,6.250473126090793
Kendujhar,Odisha,4.0,0.0,,,,,,,1802777.0,OR,2.2187991082646383
Khagaria,Bihar,30.0,0.0,,,,,,,1657599.0,BR,18.09846651693202
Khammam,Telangana,8.0,0.0,,,,,,,1401639.0,TG,5.707603741048873
Khandwa,Madhya Pradesh,80.0,8.0,57.23,37.67,39.89,31.89,61.59,57.23,1309443.0,MP,61.094679188021175
Khargone,Madhya Pradesh,95.0,8.0,5.68,9.45,9.8,8.91,7.2,5.68,1872413.0,MP,50.73666974113083
Khawzawl,Mizoram,0.0,0.0,,,,,,,,MZ,
Kheda,Gujarat,33.0,1.0,5.18,32.69,20.23,19.06,14.41,5.18,2298934.0,GJ,14.354479075954337
Kheri,Uttar Pradesh,5.0,0.0,,,,,,,4013634.0,UP,1.2457538480090613
Khordha,Odisha,50.0,2.0,,,,,,,2246341.0,OR,22.258419358414415
Khowai,Tripura,0.0,0.0,,,,,,,327391.0,TR,0.0
Khunti,Jharkhand,0.0,0.0,,,,,,,530299.0,JH,0.0
Kinnaur,Himachal Pradesh,0.0,0.0,,,,,,,84298.0,HP,0.0
Kiphire,Nagaland,0.0,0.0,,,,,,,74033.0,NL,0.0
Kishanganj,Bihar,9.0,0.0,,,,,,,1690948.0,BR,5.322458171392616
Kishtwar,Jammu and Kashmir,1.0,0.0,,,,,,,230696.0,JK,4.334708880951555
Kodagu,Karnataka,1.0,0.0,,,,,,,554762.0,KA,1.8025747978412363
Kodarma,Jharkhand,4.0,0.0,,,,,,,717169.0,JH,5.57748592033398
Kohima,Nagaland,0.0,0.0,,,,,,,270063.0,NL,0.0
Kokrajhar,Assam,1.0,0.0,,,,,,,886999.0,AS,1.1273969869188127
Kolar,Karnataka,5.0,0.0,,,,,,,1540231.0,KA,3.2462663068072253
Kolasib,Mizoram,0.0,0.0,,,,,,,83054.0,MZ,0.0
Kolhapur,Maharashtra,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3874015.0,MH,5.6788628851462875
Kolkata,West Bengal,1126.0,140.0,6.96,8.3,7.67,7.07,7.03,6.96,4486679.0,WB,250.96513479123425
Kollam,Kerala,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2629703.0,KL,7.605421600842376
Kondagaon,Chhattisgarh,0.0,0.0,,,,,,,578326.0,CT,0.0
Koppal,Karnataka,0.0,0.0,,,,,,,1391292.0,KA,0.0
Koraput,Odisha,1.0,0.0,,,,,,,1376934.0,OR,0.7262512219176809
Korba,Chhattisgarh,28.0,0.0,,,,,,,1206563.0,CT,23.206413589675797
Koriya,Chhattisgarh,0.0,0.0,,,,,,,659039.0,CT,0.0
Kota,Rajasthan,269.0,11.0,5.15,6.34,7.06,6.76,6.0,5.15,1950491.0,RJ,137.91399191280553
Kottayam,Kerala,23.0,0.0,1.18,0.0,0.0,0.0,0.0,1.18,1979384.0,KL,11.619776657788485
Kozhikode,Kerala,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3089543.0,KL,8.415484102341349
Kra Daadi,Arunachal Pradesh,0.0,0.0,,,,,,,,AR,
Krishna,Andhra Pradesh,349.0,14.0,2.29,5.83,5.04,3.82,2.59,2.29,4529009.0,AP,77.05880028059117
Krishnagiri,Tamil Nadu,20.0,0.0,21.33,,,,31.33,21.33,1883731.0,TN,10.617227194328702
Kulgam,Jammu and Kashmir,72.0,0.0,43.48,31.67,47.05,56.62,52.5,43.48,422786.0,JK,170.29892191321375
Kullu,Himachal Pradesh,0.0,0.0,,,,,,,437474.0,HP,0.0
Kumuram Bheem Asifabad,Telangana,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515835.0,TG,13.570230790853666
Kupwara,Jammu and Kashmir,83.0,0.0,5.98,6.3,5.92,6.59,7.16,5.98,875564.0,JK,94.79604003819252
Kurnool,Andhra Pradesh,591.0,17.0,2.44,4.01,3.02,2.43,2.49,2.44,4046601.0,AP,146.04849848057663
Kurukshetra,Haryana,3.0,0.0,,,,,,,964231.0,HR,3.111287647876909
Kurung Kumey,Arunachal Pradesh,0.0,0.0,,,,,,,89717.0,AR,0.0
Kushinagar,Uttar Pradesh,2.0,0.0,,,,,,,3560830.0,UP,0.5616668024028105
Lahaul and Spiti,Himachal Pradesh,0.0,0.0,,,,,,,31528.0,HP,0.0
Lahul and Spiti,Himachal Pradesh,0.0,0.0,,,,,,,31528.0,HP,0.0
Lakhimpur,Assam,1.0,0.0,,,,,,,1040644.0,AS,0.9609434158079035
Lakhisarai,Bihar,6.0,0.0,,,,,,,1000717.0,BR,5.995701082323973
Lakshadweep,Lakshadweep,0.0,0.0,,,,,,,64473.0,LD,0.0
Lalitpur,Uttar Pradesh,1.0,1.0,,,,,,,1218002.0,UP,0.8210167142582688
Latehar,Jharkhand,0.0,0.0,,,,,,,725673.0,JH,0.0
Latur,Maharashtra,32.0,1.0,23.82,11.67,11.67,25.0,22.0,23.82,2455543.0,MH,13.03174084102783
Lawngtlai,Mizoram,0.0,0.0,,,,,,,117444.0,MZ,0.0
Leh,Ladakh,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147104.0,LA,231.12899717206875
Lepa Rada,Arunachal Pradesh,0.0,0.0,,,,,,,,AR,
Lohardaga,Jharkhand,0.0,0.0,,,,,,,461738.0,JH,0.0
Lohit,Arunachal Pradesh,1.0,0.0,,,,,,,145538.0,AR,6.871057730627053
Longding,Arunachal Pradesh,0.0,0.0,,,,,,,60000.0,AR,0.0
Longleng,Nagaland,0.0,0.0,,,,,,,50593.0,NL,0.0
Lower Dibang Valley,Arunachal Pradesh,0.0,0.0,,,,,,,53986.0,AR,0.0
Lower Siang,Arunachal Pradesh,0.0,0.0,,,,,,,80597.0,AR,0.0
Lower Subansiri,Arunachal Pradesh,0.0,0.0,,,,,,,82839.0,AR,0.0
Lucknow,Uttar Pradesh,264.0,1.0,5.94,8.24,7.22,6.29,5.46,5.94,4588455.0,UP,57.53570646328666
Ludhiana,Punjab,148.0,6.0,4.5,0.68,0.45,0.22,3.56,4.5,3487882.0,PB,42.4326281680401
Lunglei,Mizoram,0.0,0.0,,,,,,,154094.0,MZ,0.0
Madhepura,Bihar,9.0,0.0,,,,,,,1994618.0,BR,4.512142174591826
Madhubani,Bihar,31.0,0.0,9.43,11.67,5.0,0.0,8.0,9.43,4476044.0,BR,6.925758549290401
Madurai,Tamil Nadu,124.0,2.0,3.5,12.45,12.54,3.72,3.61,3.5,3991038.0,TN,31.06961146448618
Mahabubabad,Telangana,1.0,0.0,,,,,,,770170.0,TG,1.2984146357297743
Mahabubnagar,Telangana,11.0,0.0,,,,,,,1318110.0,TG,8.3452822602059
Mahasamund,Chhattisgarh,0.0,0.0,,,,,,,1032275.0,CT,0.0
Mahe,Puducherry,2.0,0.0,,,,,,,41816.0,PY,47.82858236081883
Mahendragarh,Haryana,5.0,0.0,,,,,,,921680.0,HR,5.424876312820069
Mahesana,Gujarat,67.0,2.0,11.69,21.58,7.49,6.96,9.36,11.69,2027727.0,GJ,33.041923296380624
Mahisagar,Gujarat,47.0,1.0,4.15,10.17,8.78,8.77,6.6,4.15,994624.0,GJ,47.25403770671128
Mahoba,Uttar Pradesh,3.0,0.0,,,,,,,876055.0,UP,3.4244425292932523
Mahrajganj,Uttar Pradesh,9.0,0.0,,,,,,,2665292.0,UP,3.3767407098359197
Mainpuri,Uttar Pradesh,13.0,1.0,12.33,,,59.0,19.0,12.33,1847194.0,UP,7.037701508341843
Majuli,Assam,0.0,0.0,,,,,,,167304.0,AS,0.0
Malappuram,Kerala,32.0,1.0,,,,,,,4110956.0,KL,7.784077474923108
Maldah,West Bengal,19.0,0.0,41.53,,,,,41.53,3997970.0,WB,4.752411849013375
Malkangiri,Odisha,0.0,0.0,,,,,,,612727.0,OR,0.0
Mamit,Mizoram,0.0,0.0,,,,,,,85757.0,MZ,0.0
Mancherial,Telangana,1.0,1.0,,,,,,,807037.0,TG,1.2391005616842845
Mandi,Himachal Pradesh,2.0,1.0,,,,,,,999518.0,HP,2.0009644648720686
Mandla,Madhya Pradesh,1.0,0.0,,,,,,,1053522.0,MP,0.9491970741949384
Mandsaur,Madhya Pradesh,56.0,4.0,0.95,9.4,8.69,8.0,0.0,0.95,1339832.0,MP,41.79628490736153
Mandya,Karnataka,31.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,1808680.0,KA,17.139571400137115
Mansa,Punjab,32.0,0.0,0.0,41.67,21.67,11.67,5.0,0.0,768808.0,PB,41.62287593261257
Mathura,Uttar Pradesh,56.0,4.0,4.81,16.5,16.45,13.4,11.73,4.81,2541894.0,UP,22.030816391242123
Mau,Uttar Pradesh,1.0,0.0,,,,,,,2205170.0,UP,0.4534797770693416
Mayurbhanj,Odisha,9.0,0.0,,,,,,,2513895.0,OR,3.5801017942276827
Medak,Telangana,5.0,0.0,,,,,,,767428.0,TG,6.5152691848616415
Medchal Malkajgiri,Telangana,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2542203.0,TG,8.653911587705624
Medinipur East,West Bengal,47.0,1.0,2.5,,63.33,43.33,33.33,2.5,4417377.0,WB,10.639798233204909
Medinipur West,West Bengal,19.0,0.0,,,,,,,5094238.0,WB,3.729704030318176
Meerut,Uttar Pradesh,274.0,14.0,11.09,19.61,14.5,13.43,12.66,11.09,3447405.0,UP,79.48007269235846
Mirpur,Jammu and Kashmir,0.0,0.0,,,,,,,,JK,
Mirzapur,Uttar Pradesh,7.0,0.0,,,,,,,2494533.0,UP,2.806136459208998
Moga,Punjab,59.0,0.0,1.74,0.0,0.0,1.74,1.74,1.74,992289.0,PB,59.4584843730002
Mokokchung,Nagaland,0.0,0.0,,,,,,,193171.0,NL,0.0
Mon,Nagaland,0.0,0.0,,,,,,,259604.0,NL,0.0
Moradabad,Uttar Pradesh,135.0,9.0,7.3,6.51,6.35,6.19,6.05,7.3,4773138.0,UP,28.283280307420398
Morbi,Gujarat,2.0,0.0,,,,,,,960329.0,GJ,2.082619602240482
Morena,Madhya Pradesh,25.0,0.0,0.0,8.69,5.36,2.5,0.0,0.0,1965137.0,MP,12.721759348075983
Morigaon,Assam,7.0,0.0,,,,,,,957853.0,AS,7.30801072815975
Mulugu,Telangana,2.0,0.0,,,,,,,294671.0,TG,6.78723050452878
Mumbai,Maharashtra,15747.0,556.0,8.82,11.36,12.62,11.18,9.61,8.82,3145966.0,MH,5005.457783078394
Mumbai Suburban,Maharashtra,0.0,0.0,,,,,,,9332481.0,MH,0.0
Mungeli,Chhattisgarh,0.0,0.0,,,,,,,701707.0,CT,0.0
Munger,Bihar,122.0,1.0,5.61,3.23,3.62,4.35,5.01,5.61,1359054.0,BR,89.7683241431172
Murshidabad,West Bengal,5.0,1.0,,,,,,,7102430.0,WB,0.7039844109692035
Muzaffarabad,Jammu and Kashmir,0.0,0.0,,,,,,,,JK,
Muzaffarnagar,Uttar Pradesh,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4138605.0,UP,6.282310102075457
Muzaffarpur,Bihar,15.0,0.0,,,,,,,4778610.0,BR,3.1389881157909936
Mysuru,Karnataka,88.0,0.0,,,,,,,2994744.0,KA,29.38481553014214
Nabarangapur,Odisha,0.0,0.0,,,,,,,1218762.0,OR,0.0
Nadia,West Bengal,10.0,0.0,,,,,,,5168488.0,WB,1.934801822118964
Nagaon,Assam,0.0,0.0,,,,,,,2826006.0,AS,0.0
Nagapattinam,Tamil Nadu,47.0,0.0,,,,,,,1614069.0,TN,29.118953402859482
Nagarkurnool,Telangana,2.0,0.0,,,,,,,893308.0,TG,2.238869460477237
Nagaur,Rajasthan,139.0,3.0,5.11,3.96,3.81,5.03,5.48,5.11,3309234.0,RJ,42.003678192596844
Nagpur,Maharashtra,317.0,2.0,8.29,6.82,6.64,7.16,5.29,8.29,4653171.0,MH,68.12558575646587
Nainital,Uttarakhand,11.0,0.0,,,,,,,955128.0,UT,11.516780996892562
Nalanda,Bihar,63.0,0.0,31.44,5.0,27.0,27.95,29.77,31.44,2872523.0,BR,21.931939274289537
Nalbari,Assam,4.0,0.0,,,,,,,769919.0,AS,5.195351718817174
Nalgonda,Telangana,17.0,0.0,,,,,,,1631399.0,TG,10.420504119470467
Namakkal,Tamil Nadu,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721179.0,TN,44.73677636085497
Namsai,Arunachal Pradesh,0.0,0.0,,,,,,,95950.0,AR,0.0
Nanded,Maharashtra,57.0,4.0,9.87,26.9,23.61,19.93,16.75,9.87,3356566.0,MH,16.981641356076416
Nandurbar,Maharashtra,22.0,2.0,0.0,1.82,0.0,0.0,0.0,0.0,1646177.0,MH,13.364298006836446
Narayanpet,Telangana,1.0,1.0,,,,,,,566874.0,TG,1.7640604437670453
Narayanpur,Chhattisgarh,0.0,0.0,,,,,,,140206.0,CT,0.0
Narmada,Gujarat,13.0,0.0,,,,,,,590379.0,GJ,22.01975341263832
Narsimhapur,Madhya Pradesh,0.0,0.0,,,,,,,1092141.0,MP,0.0
Narsinghpur,Madhya Pradesh,0.0,0.0,,,,,,,1092141.0,MP,0.0
Nashik,Maharashtra,751.0,34.0,11.22,21.81,24.19,18.0,12.66,11.22,6109052.0,MH,122.93233058091499
Navsari,Gujarat,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330711.0,GJ,6.011823754368905
Nawada,Bihar,24.0,0.0,,,,,,,2216653.0,BR,10.827134422934035
Nayagarh,Odisha,1.0,0.0,,,,,,,962215.0,OR,1.0392687704930812
Neemuch,Madhya Pradesh,38.0,0.0,,,,,,,825958.0,MP,46.007181963247525
Nicobars,Andaman and Nicobar Islands,0.0,0.0,,,,,,,36842.0,AN,0.0
Nilgiris,Tamil Nadu,15.0,0.0,,,,,,,735071.0,TN,20.406192054917145
Nirmal,Telangana,20.0,0.0,,,,,,,709415.0,TG,28.192242904364864
Niwari,Madhya Pradesh,0.0,0.0,,,,,,,,MP,
Nizamabad,Telangana,61.0,0.0,,,,,,,1534428.0,TG,39.75422763401085
Noney,Manipur,0.0,0.0,,,,,,,,MN,
North  District,Sikkim,0.0,0.0,,,,,,,43354.0,SK,0.0
North 24 Parganas,West Bengal,301.0,29.0,6.54,8.36,7.81,7.83,6.84,6.54,10082852.0,WB,29.85266470240761
North District,Sikkim,0.0,0.0,,,,,,,43354.0,SK,0.0
North Garo Hills,Meghalaya,0.0,0.0,,,,,,,118325.0,ML,0.0
North Goa,Goa,6.0,0.0,,,,,,,817761.0,GA,7.337107052060442
North Tripura,Tripura,2.0,0.0,,,,,,,415946.0,TR,4.808316464156405
North and Middle Andaman,Andaman and Nicobar Islands,1.0,0.0,,,,,,,105597.0,AN,9.469966002822051
Nuapada,Odisha,0.0,0.0,,,,,,,606490.0,OR,0.0
Nuh,Haryana,60.0,0.0,,,,,,,1089406.0,HR,55.07588539075422
Osmanabad,Maharashtra,4.0,0.0,,,,,,,1660311.0,MH,2.4091871944473056
Other Region,Madhya Pradesh,0.0,0.0,,,,,,,,MP,
Pakke Kessang,Arunachal Pradesh,0.0,0.0,,,,,,,,AR,
Pakur,Jharkhand,0.0,0.0,,,,,,,899200.0,JH,0.0
Palakkad,Kerala,16.0,0.0,,,,,,,2810892.0,KL,5.692143276938424
Palamu,Jharkhand,8.0,0.0,,,,,,,1936319.0,JH,4.131550638092174
Palghar,Maharashtra,326.0,12.0,15.65,13.96,16.5,20.12,14.02,15.65,2990116.0,MH,109.02587056823214
Pali,Rajasthan,95.0,3.0,8.8,12.49,9.2,7.18,4.37,8.8,2038533.0,RJ,46.60213987215316
Palwal,Haryana,37.0,0.0,,,,,,,1040493.0,HR,35.56006623783149
Panch Mahals,Gujarat,66.0,4.0,6.41,8.97,7.18,7.67,6.98,6.41,2388267.0,GJ,27.63510110050509
Panchkula,Haryana,23.0,0.0,,,,,,,558890.0,HR,41.152999695825656
Panipat,Haryana,36.0,3.0,1.11,14.63,12.63,3.54,2.29,1.11,1202811.0,HR,29.929889234468256
Panna,Madhya Pradesh,1.0,0.0,,,,,,,1016028.0,MP,0.9842248441972072
Papum Pare,Arunachal Pradesh,0.0,0.0,,,,,,,176385.0,AR,0.0
Parbhani,Maharashtra,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1835982.0,MH,1.0893352984942115
Paschim Bardhaman,West Bengal,14.0,2.0,12.33,,45.67,29.0,19.0,12.33,2882031.0,WB,4.857685430864554
Pashchimi Singhbhum,Jharkhand,0.0,0.0,,,,,,,1501619.0,JH,0.0
Patan,Gujarat,31.0,2.0,9.8,3.33,0.0,2.86,5.36,9.8,1342746.0,GJ,23.08701720206205
Pathanamthitta,Kerala,18.0,0.0,,,,,,,1195537.0,KL,15.055995757554973
Pathankot,Punjab,29.0,1.0,,,,,,,626154.0,PB,46.31448493501599
Patiala,Punjab,99.0,2.0,2.43,7.27,6.43,5.99,4.24,2.43,2892282.0,PB,34.22902745997797
Patna,Bihar,99.0,2.0,13.26,5.34,7.23,9.65,10.86,13.26,5772804.0,BR,17.149378361018318
Pauri Garhwal,Uttarakhand,1.0,0.0,,,,,,,686527.0,UT,1.4566069506370471
Peddapalli,Telangana,2.0,0.0,,,,,,,795332.0,TG,2.5146731176414376
Perambalur,Tamil Nadu,142.0,0.0,14.25,65.91,67.08,60.76,14.91,14.25,564511.0,TN,251.54514261015285
Peren,Nagaland,0.0,0.0,,,,,,,163294.0,NL,0.0
Phek,Nagaland,0.0,0.0,,,,,,,163294.0,NL,0.0
Pherzawl,Manipur,0.0,0.0,,,,,,,47250.0,MN,0.0
Pilibhit,Uttar Pradesh,6.0,0.0,,,,,,,2037225.0,UP,2.9451827854066197
Pithoragarh,Uttarakhand,0.0,0.0,,,,,,,485993.0,UT,0.0
Porbandar,Gujarat,3.0,0.0,,,,,,,586062.0,GJ,5.118912333507375
Prakasam,Andhra Pradesh,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3392764.0,AP,18.56893081864816
Pratapgarh,Rajasthan,0.0,0.0,,,,,,,868231.0,RJ,0.0
Pratapgarh(RJ),Rajasthan,4.0,1.0,,,,,,,868231.0,RJ,4.607068856099357
Pratapgarh(UP),Uttar Pradesh,16.0,0.0,10.86,11.67,5.0,0.0,8.0,10.86,3173752.0,UP,5.041351687214376
Prayagraj,Uttar Pradesh,21.0,1.0,11.71,24.87,21.06,18.36,14.28,11.71,5959798.0,UP,3.5236093572298928
Puducherry,Puducherry,10.0,0.0,6.19,29.0,21.86,15.19,10.19,6.19,950289.0,PY,10.523114547258778
Pudukkottai,Tamil Nadu,6.0,0.0,11.67,,,,21.67,11.67,1918725.0,TN,3.127076574287613
Pulwama,Jammu and Kashmir,13.0,0.0,3.08,13.44,10.94,8.71,6.71,3.08,570060.0,JK,22.80461705785356
Punch,Jammu and Kashmir,0.0,0.0,,,,,,,476820.0,JK,0.0
Pune,Maharashtra,3161.0,164.0,14.12,5.03,10.88,11.74,12.63,14.12,9426959.0,MH,335.31491968937166
Purba Bardhaman,West Bengal,9.0,0.0,20.0,,0.0,0.0,20.0,20.0,4835532.0,WB,1.8612223019101104
Purbi Singhbhum,Jharkhand,0.0,0.0,,,,,,,2291032.0,JH,0.0
Puri,Odisha,4.0,0.0,,,,,,,1697983.0,OR,2.355736188171495
Purnia,Bihar,4.0,0.0,,,,,,,3273127.0,BR,1.2220729595887971
Purulia,West Bengal,0.0,0.0,,,,,,,2927965.0,WB,0.0
Rae Bareli,Uttar Pradesh,50.0,0.0,21.67,,,30.0,16.67,21.67,3404004.0,UP,14.688584384742205
Raichur,Karnataka,0.0,0.0,,,,,,,1924773.0,KA,0.0
Raigarh(CG),Chhattisgarh,0.0,0.0,,,,,,,1493627.0,CT,0.0
Raigarh(CT),Chhattisgarh,0.0,0.0,,,,,,,1493627.0,CT,0.0
Raigarh(MH),Maharashtra,308.0,10.0,,,,,,,2635394.0,MH,116.87057039668451
Raipur,Chhattisgarh,7.0,0.0,,,,,,,4062160.0,CT,1.7232211434310811
Raisen,Madhya Pradesh,65.0,3.0,1.55,7.93,6.04,3.86,1.96,1.55,1331699.0,MP,48.80982864746463
Rajanna Sircilla,Telangana,3.0,0.0,,,,,,,546121.0,TG,5.493288117468473
Rajgarh,Madhya Pradesh,0.0,0.0,,,,,,,1546541.0,MP,0.0
Rajkot,Gujarat,66.0,2.0,0.95,5.29,4.12,3.01,1.95,0.95,3157676.0,GJ,20.901447773615786
Rajnandgaon,Chhattisgarh,1.0,0.0,,,,,,,1537520.0,CT,0.6503980436026848
Rajouri,Jammu and Kashmir,4.0,0.0,,,,,,,619266.0,JK,6.459259833415688
Rajsamand,Rajasthan,26.0,0.0,16.15,39.0,33.76,34.1,31.15,16.15,1158283.0,RJ,22.447018561094307
Ramanagara,Karnataka,0.0,0.0,,,,,,,1082739.0,KA,0.0
Ramanathapuram,Tamil Nadu,31.0,1.0,7.03,7.41,6.98,9.46,8.21,7.03,1337560.0,TN,23.176530398636324
Ramban,Jammu and Kashmir,1.0,0.0,,,,,,,283313.0,JK,3.5296650700815
Ramgarh,Jharkhand,0.0,0.0,,,,,,,949159.0,JH,0.0
Rampur,Uttar Pradesh,31.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,2335398.0,UP,13.273968719678614
Ranchi,Jharkhand,96.0,2.0,0.7,0.73,0.73,0.0,0.35,0.7,2912022.0,JH,32.966783904791924
Ranga Reddy,Telangana,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2551731.0,TG,14.10807016883833
Ranipet,Tamil Nadu,75.0,0.0,39.51,9.0,29.0,30.67,44.51,39.51,1210277.0,TN,61.969284717465506
Ratlam,Madhya Pradesh,28.0,0.0,13.33,30.0,30.0,30.0,10.0,13.33,1454483.0,MP,19.25082658236638
Ratnagiri,Maharashtra,60.0,2.0,113.85,36.67,126.67,132.12,121.41,113.85,1612672.0,MH,37.205333756647356
Rayagada,Odisha,0.0,0.0,,,,,,,961959.0,OR,0.0
Reasi,Jammu and Kashmir,3.0,0.0,,,,,,,314714.0,JK,9.53246439624548
Rewa,Madhya Pradesh,3.0,0.0,,,,,,,2363744.0,MP,1.2691729730461505
Rewari,Haryana,5.0,0.0,,,,,,,896129.0,HR,5.579553836557014
Ribhoi,Meghalaya,0.0,0.0,,,,,,,258380.0,ML,0.0
Rohtak,Haryana,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1058683.0,HR,6.611988668940562
Rohtas,Bihar,75.0,1.0,3.02,1.63,2.02,2.4,2.77,3.02,2962593.0,BR,25.31566097671871
Rudraprayag,Uttarakhand,0.0,0.0,,,,,,,236857.0,UT,0.0
Rupnagar,Punjab,56.0,1.0,71.3,0.0,70.0,70.44,70.88,71.3,683349.0,PB,81.94934067365284
S.A.S. Nagar,Punjab,102.0,3.0,1.13,3.04,2.95,2.32,1.72,1.13,986147.0,PB,103.43285534509559
S.P.S. Nellore,Andhra Pradesh,111.0,3.0,5.21,7.67,6.22,4.59,6.05,5.21,2966082.0,AP,37.423105632278535
Sabar Kantha,Gujarat,27.0,2.0,14.55,,40.75,38.61,23.44,14.55,2427346.0,GJ,11.123259724818793
Sagar,Madhya Pradesh,10.0,1.0,,,,,,,2378295.0,MP,4.204692857698477
Saharanpur,Uttar Pradesh,192.0,0.0,0.88,2.33,2.28,1.8,1.33,0.88,3464228.0,UP,55.4236037581822
Saharsa,Bihar,10.0,0.0,,,,,,,1897102.0,BR,5.2711978586285815
Sahibganj,Jharkhand,0.0,0.0,,,,,,,1150038.0,JH,0.0
Saiha,Mizoram,0.0,0.0,,,,,,,56366.0,MZ,0.0
Saitual,Mizoram,0.0,0.0,,,,,,,,MZ,
Salem,Tamil Nadu,35.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3480008.0,TN,10.057448143797373
Samastipur,Bihar,11.0,0.0,,,,,,,4254782.0,BR,2.5853263457446234
Samba,Jammu and Kashmir,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318611.0,JK,34.524859468128845
