district,state,cases,deaths,current_avg_growth_rate,day0,day1,day2,day3,day4,population,state_code,cases_per_million
Bongaigaon,Assam,5.0,0.0,,,,,,,732639.0,AS,6.824643514746008
Botad,Gujarat,56.0,1.0,2.03,11.91,7.6,3.81,2.9,2.03,656005.0,GJ,85.3652030091234
Boudh,Odisha,4.0,0.0,,,,,,,439917.0,OR,9.09262429049116
Budaun,Uttar Pradesh,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3712738.0,UP,4.578831040595916
Budgam,Jammu and Kashmir,53.0,0.0,14.91,,,,,14.91,735753.0,JK,72.03504436950988
Bulandshahr,Uttar Pradesh,75.0,1.0,4.3,6.94,6.4,7.32,5.87,4.3,3498507.0,UP,21.437716145773038
Buldana,Maharashtra,25.0,1.0,,,,,,,2588039.0,MH,9.65982351888824
Bundi,Rajasthan,0.0,0.0,,,,,,,1113725.0,RJ,0.0
Burhanpur,Madhya Pradesh,60.0,6.0,3.54,26.71,18.29,12.54,7.54,3.54,756993.0,MP,79.26097070910829
Buxar,Bihar,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707643.0,BR,34.550547157690445
Cachar,Assam,11.0,0.0,0.0,,,,25.0,0.0,1736319.0,AS,6.335241392854654
Chamarajanagara,Karnataka,0.0,0.0,,,,,,,1020962.0,KA,0.0
Chamba,Himachal Pradesh,12.0,0.0,0.0,,,,,0.0,518844.0,HP,23.12833915396536
Chamoli,Uttarakhand,0.0,0.0,,,,,,,391114.0,UT,0.0
Champawat,Uttarakhand,0.0,0.0,,,,,,,259315.0,UT,0.0
Champhai,Mizoram,0.0,0.0,,,,,,,125370.0,MZ,0.0
Chandauli,Uttar Pradesh,1.0,0.0,,,,,,,1952713.0,UP,0.5121080261154609
Chandel,Manipur,0.0,0.0,,,,,,,144028.0,MN,0.0
Chandigarh,Chandigarh,191.0,3.0,6.86,13.83,10.88,9.92,8.62,6.86,1055450.0,CH,180.96546496754937
Chandrapur,Maharashtra,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2194262.0,MH,1.8229363676716817
Changlang,Arunachal Pradesh,0.0,0.0,,,,,,,147951.0,AR,0.0
Charaideo,Assam,0.0,0.0,,,,,,,,AS,
Charki Dadri,Haryana,4.0,0.0,,,,,,,502276.0,HR,7.9637490144860585
Chatra,Jharkhand,0.0,0.0,,,,,,,1042304.0,JH,0.0
Chengalpattu,Tamil Nadu,411.0,3.0,25.89,44.17,24.96,31.37,30.31,25.89,2556244.0,TN,160.78277347545853
Chennai,Tamil Nadu,5262.0,43.0,12.9,16.94,16.28,15.41,14.73,12.9,7100000.0,TN,741.1267605633802
Chhatarpur,Madhya Pradesh,0.0,0.0,,,,,,,1762857.0,MP,0.0
Chhindwara,Madhya Pradesh,5.0,1.0,,,,,,,2090306.0,MP,2.391994282176868
Chikkaballapura,Karnataka,24.0,2.0,12.33,0.0,5.0,9.0,12.33,12.33,1254377.0,KA,19.133003873636078
Chikkamagaluru,Karnataka,0.0,0.0,,,,,,,1137753.0,KA,0.0
Chirang,Assam,0.0,0.0,,,,,,,481818.0,AS,0.0
Chitradurga,Karnataka,7.0,0.0,,,,,,,1660378.0,KA,4.215907462035753
Chitrakoot,Uttar Pradesh,8.0,0.0,,,,,,,990626.0,UP,8.075701627051982
Chittaurgarh,Rajasthan,142.0,2.0,11.24,14.46,15.63,19.18,13.9,11.24,1544392.0,RJ,91.94556822361164
