id,likes,tweet,created_at,followers_count,name,type
espn,143651,"On this date 8 years ago, Kobe didn't even flinch. https://t.co/rq9Mz1aTlo",Wed Mar 07 19:30:15 +0000 2018,33784270,ESPN,0
espn,137188,"This is awesome, @RyanShazier 👏 https://t.co/ca1EgOLRE0",Thu Dec 06 21:08:48 +0000 2018,33784270,ESPN,0
espn,135970,"BILL 
BILL 
BILL 
BILL 
BILL 
BILL https://t.co/dQbRXV8m98",Tue Jul 17 03:22:36 +0000 2018,33784270,ESPN,0
espn,134577,"Grab a tissue. 

Here’s how @RandyMoss reacted when he found out he was headed to Canton. (via @ProFootballHOF) https://t.co/cZzpis0D75",Sun Feb 04 02:20:54 +0000 2018,33784270,ESPN,0
espn,126754,"She wanted a puck so badly, that her reaction just might melt your heart ❤️
https://t.co/CCy3w8hB4B",Mon Apr 16 03:59:03 +0000 2018,33784270,ESPN,0
