id,likes,tweet,created_at,followers_count,name,type
Pink,130879,It was a throat lozenge,Mon Feb 05 00:53:24 +0000 2018,31966855,P!nk,0
Pink,124494,https://t.co/BI861sjSZ4,Mon Jan 29 23:35:43 +0000 2018,31966855,P!nk,0
Pink,111700,"Yeah but altleast I suck while singing our countries national anthem, and you just suck by yourself on a dirty couc… https://t.co/KAdMVpf2ad",Mon Feb 05 00:50:50 +0000 2018,31966855,P!nk,0
Pink,97372,I am of the mindset that it’s a blessing to grow old. That if your face has lines around your eyes and mouth it mea… https://t.co/JHlJnXhpek,Wed May 16 09:15:11 +0000 2018,31966855,P!nk,0
Pink,81740,All of your prayers and well wishes and candles got me through today. Thankyou so much for all the love and support… https://t.co/M5mqYQ67AC,Mon Feb 05 00:57:26 +0000 2018,31966855,P!nk,0
