id,likes,tweet,created_at,followers_count,name,type
BeingSalmanKhan,115622,Karan + Arjun ... fond memories @iamsrk https://t.co/mKc9AqXMsv,Sun Dec 30 10:03:59 +0000 2018,36272069,Salman Khan,0
BeingSalmanKhan,113451,Mujhe ladki mil gayi,Tue Feb 06 06:46:49 +0000 2018,36272069,Salman Khan,0
BeingSalmanKhan,113224,Tears of gratitude . To all my loved ones who are with me and never lost hope . Thank you for being there with all… https://t.co/AuPEfy3oeo,Mon Apr 09 11:30:03 +0000 2018,36272069,Salman Khan,0
BeingSalmanKhan,111652,With the love of my life https://t.co/bHHSALxAE6,Sun Aug 12 07:30:52 +0000 2018,36272069,Salman Khan,0
BeingSalmanKhan,97025,Merry Xmas to all.... https://t.co/7X7S2ex1yZ,Tue Dec 25 18:02:47 +0000 2018,36272069,Salman Khan,0
