id,likes,tweet,created_at,followers_count,name,type
ladygaga,481129,We should all wrap our arms of love around Demi Lovato. I am so happy you’re alive. Thank God. If I know my monster… https://t.co/PLfcgFH6iN,Wed Jul 25 00:02:12 +0000 2018,78213823,Lady Gaga,0
ladygaga,195522,Here’s me in 2007 right before I dyed my hair blonde and released Just Dance. It’s now 2018 and I’m so blessed to b… https://t.co/qkxtKsDUPL,Wed Mar 28 20:24:48 +0000 2018,78213823,Lady Gaga,0
ladygaga,179797,I am thinking so deeply for everyone who is suffering today from these abominable fires &amp; grieving the loss of thei… https://t.co/acNf2FP8V2,Sat Nov 10 02:54:29 +0000 2018,78213823,Lady Gaga,0
ladygaga,173466,"Happy New Year. To happiness. Health. Love. And to the simplicity of beautiful unforgettable nature, life. https://t.co/dpdN1eXeeS",Wed Jan 03 23:44:56 +0000 2018,78213823,Lady Gaga,0
ladygaga,170825,💞 https://t.co/nEG3ZnS8lp,Mon Dec 31 23:57:38 +0000 2018,78213823,Lady Gaga,0
