id,likes,tweet,created_at,followers_count,name,type
neymarjr,103120,Preparados né não @marquinhos_m5 🤘🏽😝 https://t.co/epKnmicQ8J,Thu Jun 21 15:41:05 +0000 2018,42619940,Neymar Jr,0
neymarjr,31095,"I got here because of my football. @nikefootball Believe.
.
Cheguei até aqui por causa do meu futebol.… https://t.co/wr9l1IY4Xo",Thu Jun 21 07:06:00 +0000 2018,42619940,Neymar Jr,0
neymarjr,8987,Neymar Jr. - O Apoio da Torcida: https://t.co/4rAkZS5f3F via @YouTube,Thu Jun 21 18:56:04 +0000 2018,42619940,Neymar Jr,0
