id,likes,tweet,created_at,followers_count,name,type
NiallOfficial,431803,#8YearsfOneDirection Wow! 8 years of amazing memories with the lads . Thank you so much for standing by us for all this time.,Mon Jul 23 14:30:23 +0000 2018,39309334,Niall Horan,0
NiallOfficial,381599,Had the coolest little goodie bag on the plane with this letter enclosed . Marit was quiet as a mouse for 10 hours… https://t.co/TCGKxeqHmo,Tue May 22 16:43:00 +0000 2018,39309334,Niall Horan,0
NiallOfficial,222575,@Louis_Tomlinson happy birthday Tommo  Xx,Mon Dec 24 16:20:17 +0000 2018,39309334,Niall Horan,0
NiallOfficial,214764,Happy new year everyone ! 2018 let’s be havin ya . Have a good one people,Mon Jan 01 00:14:19 +0000 2018,39309334,Niall Horan,0
NiallOfficial,201951,Merry Christmas everyone around the world ! Love you all . Xxx,Tue Dec 25 12:13:10 +0000 2018,39309334,Niall Horan,0
