id,likes,tweet,created_at,followers_count,name,type
katyperry,128078,love &amp; strength to you @ddlovato we’re all here for you baby girl ♥️,Wed Jul 25 04:02:26 +0000 2018,107025666,KATY PERRY,0
katyperry,96632,Love you too friend ❤️ Onward and upward 👩‍❤️‍👩 https://t.co/tYl4ueBjB5,Fri Nov 30 20:51:28 +0000 2018,107025666,KATY PERRY,0
katyperry,78164,you don’t fall in love. you grow in love.,Thu Feb 15 04:43:49 +0000 2018,107025666,KATY PERRY,0
katyperry,70955,This is an absolutely heartless response. There aren’t even politics involved. Just good American families losing t… https://t.co/wHkmRRiKak,Sat Nov 10 08:50:56 +0000 2018,107025666,KATY PERRY,0
katyperry,67167,wig,Sat Mar 10 06:26:30 +0000 2018,107025666,KATY PERRY,0
