date,close,volume,open,high,low,year,weekday,change
2015-01-02,219.31,4753239.0000,222.87,223.25,213.26,2015,4,-0.013938222202239083
2015-01-05,210.09,5355485.0000,214.55,216.5,207.1626,2015,0,-0.042040946605261954
2015-01-06,211.28,6257651.0000,210.06,214.2,204.21,2015,1,0.005664239135608538
2015-01-07,210.95,2965330.0000,213.35,214.78,209.78,2015,2,-0.0015619083680424673
2015-01-08,210.615,3434901.0000,212.81,213.7999,210.01,2015,3,-0.0015880540412419035
2015-01-09,206.66,4591310.0000,208.92,209.98,204.96,2015,4,-0.018778339624433267
2015-01-12,202.21,5945607.0000,203.05,204.47,199.25,2015,0,-0.021532952675892714
2015-01-13,204.25,4247704.0000,203.32,207.61,200.911,2015,1,0.010088521833737164
2015-01-14,192.69,11516340.0000,185.83,195.2,185.0,2015,2,-0.056597307221542235
2015-01-15,191.87,5204777.0000,194.49,195.7499,190.0,2015,3,-0.0042555399865067895
2015-01-16,193.07,3590855.0000,190.7,194.49,189.65,2015,4,0.006254234638036111
2015-01-20,191.93,4490681.0000,193.87,194.1199,187.04,2015,1,-0.005904594188636175
2015-01-21,196.57,4144121.0000,189.55,198.68,189.51,2015,2,0.024175480643984715
2015-01-22,201.62,4103753.0000,197.0,203.24,195.2,2015,3,0.025690593681640186
2015-01-23,201.29,3441052.0000,200.29,203.5,198.33,2015,4,-0.0016367423866680514
2015-01-26,206.55,3231121.0000,201.83,208.62,201.05,2015,0,0.02613145213373749
2015-01-27,205.98,2777926.0000,204.42,208.03,203.3,2015,1,-0.0027596223674656094
2015-01-28,199.37,3139481.0000,206.11,206.368,198.42,2015,2,-0.032090494222740004
2015-01-29,205.2,3542577.0000,201.07,205.98,196.5,2015,3,0.029242112654862738
2015-01-30,203.6,3001268.0000,203.96,207.47,203.0,2015,4,-0.007797270955165665
2015-02-02,210.94,4143850.0000,203.97,211.9499,203.3,2015,0,0.03605108055009825
2015-02-03,218.36,4815834.0000,213.22,220.37,211.27,2015,1,0.035175879396985
2015-02-04,218.55,3304417.0000,218.29,221.479,216.8,2015,2,0.0008701227331012902
2015-02-05,220.99,3518316.0000,219.88,225.48,219.638,2015,3,0.011164493250972306
2015-02-06,217.36,3235856.0000,222.0,223.4,216.5001,2015,4,-0.0164260826281732
2015-02-09,217.48,3469776.0000,215.38,217.93,211.99,2015,0,0.0005520794994478106
2015-02-10,216.29,5348862.0000,217.55,220.5,215.0,2015,1,-0.005471767518852298
2015-02-11,212.8,9053083.0000,212.21,214.74,207.28,2015,2,-0.016135743677469973
2015-02-12,202.88,15626830.0000,193.57,203.0882,193.28,2015,3,-0.04661654135338353
2015-02-13,203.77,6148207.0000,202.9,205.99,200.91,2015,4,0.004386829652996919
2015-02-17,204.35,3964555.0000,205.7,205.7,201.5,2015,1,0.002846346370908299
2015-02-18,204.46,2710898.0000,204.17,206.17,202.6,2015,2,0.0005382921458283027
2015-02-19,211.705,5137203.0000,205.0,212.44,203.75,2015,3,0.03543480387361833
2015-02-20,217.11,5978376.0000,210.78,217.6,209.81,2015,4,0.02553080938097825
2015-02-23,207.335,8487131.0000,215.66,218.2,206.33,2015,0,-0.04502326009856757
2015-02-24,204.11,6587298.0000,207.29,207.29,201.7,2015,1,-0.015554537342947376
2015-02-25,203.76,3907505.0000,204.94,207.14,202.58,2015,2,-0.001714761648131021
2015-02-26,207.19,6468020.0000,204.0,211.09,202.22,2015,3,0.016833529642716956
2015-02-27,203.34,3871397.0000,206.9,208.55,202.8,2015,4,-0.01858197789468601
2015-03-02,197.325,7910402.0000,202.7,203.34,195.825,2015,0,-0.02958099734434944
2015-03-03,199.56,4430800.0000,196.81,200.2435,195.32,2015,1,0.011326491828202273
2015-03-04,202.435,4215255.0000,199.25,202.52,197.21,2015,2,0.014406694728402485
2015-03-05,200.63,4870131.0000,202.85,206.19,200.15,2015,3,-0.008916442314817136
2015-03-06,193.88,6705451.0000,199.21,200.75,192.151,2015,4,-0.03364402133280168
2015-03-09,190.88,6732511.0000,194.39,194.49,188.25,2015,0,-0.015473488755931504
2015-03-10,190.32,5539041.0000,188.46,193.5,187.6,2015,1,-0.002933780385582577
2015-03-11,193.74,4968406.0000,191.15,196.18,191.01,2015,2,0.01796973518285002
2015-03-12,191.07,4139769.0000,193.75,194.45,189.75,2015,3,-0.013781356457107544
2015-03-13,188.68,5421293.0000,188.95,191.75,187.32,2015,4,-0.01250850473648394
2015-03-16,195.7,5617028.0000,192.0,195.91,189.8,2015,0,0.037205851176595195
