date,close,volume,open,high,low,year,weekday,change
2019-01-02,310.12,11611270.0000,306.1,315.13,298.8,2019,2,-0.06814903846153848
2019-01-03,300.36,6948577.0000,307.0,309.4,297.38,2019,3,-0.03147168837869209
2019-01-04,317.69,7382755.0000,306.0,318.0,302.73,2019,4,0.05769742975096545
2019-01-07,334.96,7542338.0000,321.72,336.74,317.7508,2019,0,0.054361169693726535
2019-01-08,335.35,6994427.0000,341.96,344.01,327.02,2019,1,0.0011643181275377455
2019-01-09,338.53,5426618.0000,335.5,343.5025,331.47,2019,2,0.009482630087967646
2019-01-10,344.97,6049621.0000,334.4,345.39,331.79,2019,3,0.01902342480725506
2019-01-11,347.26,5035078.0000,342.09,348.41,338.77,2019,4,0.006638258399280991
2019-01-14,334.4,5232690.0000,342.38,342.5,334.0,2019,0,-0.03703277083453324
2019-01-15,344.43,6047890.0000,335.0,348.8,334.5,2019,1,0.029994019138756073
2019-01-16,346.05,4677227.0000,344.78,352.0,343.5,2019,2,0.004703423046772942
2019-01-17,347.31,3661162.0000,346.21,351.5,344.15,2019,3,0.0036410923276982833
2019-01-18,302.26,24079260.0000,323.0,327.1297,299.7301,2019,4,-0.1297112090063632
2019-01-22,298.92,12052130.0000,304.82,308.0,295.5,2019,1,-0.011050089327069327
2019-01-23,287.59,12513080.0000,292.5,294.5,281.69,2019,2,-0.03790311789107467
2019-01-24,291.51,7990911.0000,283.03,293.68,279.2831,2019,3,0.013630515664661554
2019-01-25,297.04,7102781.0000,294.39,298.5195,289.55,2019,4,0.018970189701897122
2019-01-28,296.38,6409477.0000,292.91,297.46,287.75,2019,0,-0.0022219229733370085
2019-01-29,297.46,4602933.0000,295.27,298.5566,291.8,2019,1,0.0036439705783115734
2019-01-30,308.77,10594040.0000,300.45,309.0,298.49,2019,2,0.038021918913467366
2019-01-31,307.02,12545190.0000,301.0,311.5636,294.0,2019,3,-0.005667649059170257
2019-02-01,312.21,7263618.0000,305.42,316.1,303.5,2019,4,0.01690443619308188
2019-02-04,312.89,7344076.0000,312.98,315.3,301.88,2019,0,0.002178021203677034
2019-02-05,321.35,6734739.0000,312.49,322.44,312.2494,2019,1,0.02703825625619239
2019-02-06,317.22,5031368.0000,319.59,324.24,315.624,2019,2,-0.012852030496343536
2019-02-07,307.51,6511830.0000,313.3,314.7,303.0,2019,3,-0.030609671521341766
2019-02-08,305.8,5835078.0000,306.83,307.445,298.5,2019,4,-0.005560794770901693
2019-02-11,312.84,7114012.0000,311.6,318.6,310.5,2019,0,0.02302158273381283
2019-02-12,311.81,5485419.0000,316.2,318.19,309.62,2019,1,-0.0032924178493797876
2019-02-13,308.17,5130398.0000,312.35,312.75,305.57,2019,2,-0.011673775696738355
2019-02-14,303.77,5190887.0000,303.38,306.77,301.0,2019,3,-0.014277833663237934
2019-02-15,307.88,3895815.0000,304.5,308.0,303.9,2019,4,0.013529973335089093
2019-02-19,305.64,4120520.0000,306.56,311.5442,305.47,2019,1,-0.0072755619072366155
2019-02-20,302.56,7132969.0000,304.41,306.3,299.0,2019,2,-0.010077215024211439
2019-02-21,291.23,8880830.0000,301.81,303.2399,290.5,2019,3,-0.03744711792702269
2019-02-22,294.71,5731380.0000,294.49,296.5,292.1,2019,4,0.011949318408130898
2019-02-25,298.77,6213701.0000,297.91,302.9044,297.0005,2019,0,0.013776254623188907
2019-02-26,297.86,8571609.0000,292.22,302.01,288.7701,2019,1,-0.00304582120025427
2019-02-27,314.74,11144100.0000,301.78,316.295,300.55,2019,2,0.0566709192237964
