symbol,name,id,av,lastClose,mcap
AMCN,AirMedia Group Inc,79.0,0.6967906477425768,0.46,20781764.54
AKAM,"Akamai Technologies, Inc.",80.0,0.33528277324204114,74.47,12202834715.28
AKTX,Akari Therapeutics Plc,81.0,2.038729855612074,3.45,52468900.65
AKCA,"Akcea Therapeutics, Inc.",82.0,0.86436048025782,31.55,2821617049.85
AKBA,"Akebia Therapeutics, Inc.",83.0,0.682916093086072,7.6,890129191.2
AKER,Akers Biosciences Inc.,84.0,1.2411536616440244,0.8902,11112106.6616
AKRX,"Akorn, Inc.",85.0,0.6119419580204712,3.41,428224093.33
AKTS,"Akoustis Technologies, Inc.",86.0,0.6989907106007791,6.31,188752310.93
ALRM,"Alarm.com Holdings, Inc.",87.0,0.40313672786954974,64.82,3123177139.74
ALSK,"Alaska Communications Systems Group, Inc.",88.0,0.5018083069234364,1.89,100676200.59
ALAC,Alberton Acquisition Corporation,89.0,0.04480311158801728,10.0,146897500.0
ALBO,"Albireo Pharma, Inc.",93.0,0.7266671248132744,34.75,417904368.75
ABDC,Alcentra Capital Corp.,94.0,0.29052627099957173,8.0,103004528.0
ALDR,"Alder BioPharmaceuticals, Inc.",95.0,0.7133646910835584,13.9,952145343.5
ALDX,"Aldeyra Therapeutics, Inc.",96.0,0.8217781767759408,8.63,236422517.75
ALEC,"Alector, Inc.",97.0,0.7458767983895521,25.77,1774826079.84
ALXN,"Alexion Pharmaceuticals, Inc.",98.0,0.38206151661703824,139.75,31345925000.0
ALCO,"Alico, Inc.",99.0,0.2887410829779764,27.81,207540551.43
ALGN,"Align Technology, Inc.",101.0,0.36152730263022054,292.71,23415087353.79
ALIM,"Alimera Sciences, Inc.",102.0,0.711213315963331,1.02,72388002.6
ALYA,Alithya Group inc.,103.0,0.4144031533766422,3.32,160830268.64
ALJJ,"ALJ Regional Holdings, Inc.",104.0,0.4998133047503674,1.61,61222560.35
ALKS,Alkermes plc,105.0,0.469024432325549,37.33,5824943783.96
ALLK,Allakos Inc.,106.0,1.122459861773775,43.34,1868040636.66
ABTX,"Allegiance Bancshares, Inc.",107.0,0.3016289662620986,35.93,778673343.15
ALGT,Allegiant Travel Company,108.0,0.32998114237648746,137.92,2245480760.96
ALGR,Allegro Merger Corp.,109.0,0.04919501375356997,9.93,189265800.0
ALNA,"Allena Pharmaceuticals, Inc.",113.0,0.7745089656925753,6.67,138836143.38
LNT,Alliant Energy Corporation,115.0,0.1674545627410459,46.36,10944412661.0
AHPI,"Allied Healthcare Products, Inc.",116.0,0.771137319166992,1.81,7264501.97
AMOT,"Allied Motion Technologies, Inc.",117.0,0.4954929191150805,36.35,346593069.75
ALQA,"Alliqua BioMedical, Inc.",118.0,37.85666699271014,2.9,14515111.9
ALLO,"Allogene Therapeutics, Inc.",119.0,0.6298226969521935,27.48,3338343799.08
ALLT,Allot Ltd.,120.0,0.36321473372271995,7.77,264466650.84
MDRX,"Allscripts Healthcare Solutions, Inc.",121.0,0.3202509553884196,9.6,1644785241.6
ALNY,"Alnylam Pharmaceuticals, Inc.",122.0,0.6423324400676101,90.17,9585471535.14
AOSL,Alpha and Omega Semiconductor Limited,123.0,0.40682117851976946,12.39,296622237.45
GOOG,Alphabet Inc.,124.0,0.23358988320154872,1203.84,836893190960.64
GOOGL,Alphabet Inc.,125.0,0.23233526277992472,1208.28,839979818558.88
SMCP,AlphaMark Actively Managed Small Cap ETF,126.0,0.23047193726241227,24.016,24015951.968000002
ATEC,"Alphatec Holdings, Inc.",127.0,0.7961536726035685,2.63,123209324.76
ALPN,"Alpine Immune Sciences, Inc.",128.0,0.6782410289276168,7.75,143847974.75
AMR,"Alta Mesa Resources, Inc.",129.0,0.8170467330041268,0.2601,99066646.3671
AABA,Altaba Inc.,131.0,0.29067366636174763,74.46,42253389544.2
ALTR,Altair Engineering Inc.,132.0,0.4686391860603531,37.07,1433495973.25
ALT,"Altimmune, Inc.",133.0,1.4918127249249933,3.22,43312558.1
ASPS,Altisource Portfolio Solutions S.A.,134.0,0.6827240566023159,25.37,413615862.65
AIMC,Altra Industrial Motion Corp.,135.0,0.28523021953964545,32.66,2106394681.12
ALTM,Altus Midstream Company,136.0,0.3656766107304313,5.95,1933329364.75
AMAG,"AMAG Pharmaceuticals, Inc.",137.0,0.5485008476052831,13.02,451964952.6
AMAL,Amalgamated Bank,138.0,0.4364536985282456,15.52,493094999.2
AMRN,Amarin Corporation plc,139.0,1.4559849089261405,19.47,6279288975.3
AMRK,"A-Mark Precious Metals, Inc.",140.0,0.3615703064862313,11.12,78189724.0
AMZN,"Amazon.com, Inc.",141.0,0.30370735417726974,1849.86,908656578095.4
AMBC,"Ambac Financial Group, Inc.",142.0,0.38339967854863416,18.3,829755562.2
AMBA,"Ambarella, Inc.",144.0,0.5216109192030736,45.48,1488323631.12
AMCX,AMC Networks Inc.,145.0,0.28325160076199657,58.78,3304294305.56
AMCI,AMCI Acquisition Corp.,146.0,0.11263316248705517,9.85,0.0
DOX,Amdocs Limited,149.0,0.1559888866963564,55.06,7654000720.0
AMED,Amedisys Inc,150.0,0.4373046005553851,128.78,4122285403.76
UHAL,Amerco,151.0,0.24209617899210317,369.11,7237430628.68
AMRH,"Ameri Holdings, Inc.",152.0,3.9975243506627725,0.3395,15966153.0035
ATAX,"America First Multifamily Investors, L.P.",154.0,0.17845324388218148,6.83,414522719.61
AMOV,"America Movil, S.A.B. de C.V.",155.0,0.31879508026761344,15.65,51662871204.5
AAL,"American Airlines Group, Inc.",156.0,0.4439131669458051,33.88,15214001966.24
AETI,"American Electric Technologies, Inc.",157.0,1.1974303814021738,0.8316,7542054.828
AFIN,"American Finance Trust, Inc.",158.0,0.3415367670355836,10.53,1116973024.83
AMNB,"American National Bankshares, Inc.",160.0,0.230878648098854,34.63,303239984.47
ANAT,American National Insurance Company,161.0,0.20284644775201133,119.27,3206836344.0
AOBC,American Outdoor Brands Corporation,162.0,0.4372942260186465,9.63,525393039.24
APEI,"American Public Education, Inc.",163.0,0.47144212701102195,32.25,534903660.0
AMRB,American River Bankshares,165.0,0.27607270026092773,12.5,73244600.0
AMSWA,"American Software, Inc.",166.0,0.30570536993201264,12.86,400265210.92
AMSC,American Superconductor Corporation,167.0,0.6957951342009994,12.89,276075725.58
AMWD,American Woodmark Corporation,168.0,0.37756051591244794,88.23,1488375956.79
CRMT,"America&#39;s Car-Mart, Inc.",169.0,0.36746801927701894,90.56,607341907.84
ABCB,Ameris Bancorp,170.0,0.25482285621186385,36.09,1717353801.81
AMSF,"AMERISAFE, Inc.",171.0,0.24487617775791698,57.28,1103784454.4
