date,close,volume,open,high,low,year,weekday,change
2014-01-02,150.1,6188202.0000,149.8,152.4769,146.55,2014,3,-0.0021870782894256274
2014-01-03,149.56,4691589.0000,150.0,152.19,148.601,2014,4,-0.003597601598933991
2014-01-06,147.0,5361072.0000,150.0,150.4,145.24,2014,0,-0.017116876170098973
2014-01-07,149.36,5034083.0000,147.62,150.4,145.25,2014,1,0.016054421768707576
2014-01-08,151.28,6154868.0000,148.85,153.7,148.76,2014,2,0.012854847348687649
2014-01-09,147.53,5380624.0000,152.5,153.43,146.85,2014,3,-0.024788471708090957
2014-01-10,145.7199,7445861.0000,148.46,148.9,142.25,2014,4,-0.012269368941910158
2014-01-13,139.34,6314832.0000,145.78,147.0,137.82,2014,0,-0.0437819405585647
2014-01-14,161.27,27558800.0000,140.5,162.0,136.671,2014,1,0.15738481412372618
2014-01-15,164.13,20461310.0000,168.45,172.23,162.1,2014,2,0.017734234513548615
2014-01-16,170.97,11957980.0000,162.5,172.7,162.4,2014,3,0.04167428258088103
2014-01-17,170.01,9205616.0000,170.19,173.2,167.95,2014,4,-0.0056150201789788145
2014-01-21,176.68,9550446.0000,171.24,177.29,170.81,2014,1,0.03923298629492392
2014-01-22,178.56,7021769.0000,177.81,180.319,174.76,2014,2,0.01064070636178399
2014-01-23,181.5,7863768.0000,177.23,182.38,173.42,2014,3,0.016465053763440846
2014-01-24,174.6,7684134.0000,177.85,180.48,173.531,2014,4,-0.038016528925619866
2014-01-27,169.62,8714715.0000,175.16,177.92,164.71,2014,0,-0.028522336769759394
2014-01-28,178.38,6090396.0000,171.5,178.98,171.0,2014,1,0.05164485320127338
2014-01-29,175.23,5934083.0000,175.3,179.09,173.131,2014,2,-0.017658930373360273
2014-01-30,182.84,8562363.0000,178.0,184.78,177.01,2014,3,0.04342863664897571
2014-01-31,181.41,6507957.0000,178.85,186.0,178.5146,2014,4,-0.007821045723036572
2014-02-03,177.11,6764261.0000,182.89,184.8797,175.16,2014,0,-0.02370321371478961
2014-02-04,178.73,4685739.0000,180.7,181.6,176.2,2014,1,0.009146857884930134
2014-02-05,174.42,7267674.0000,178.3,180.59,169.36,2014,2,-0.024114586247412313
2014-02-06,178.38,5840728.0000,176.3,180.11,176.0,2014,3,0.02270381836945309
2014-02-07,186.53,8951247.0000,181.01,186.63,179.6,2014,4,0.0456889785850432
2014-02-10,196.56,12963450.0000,189.34,199.3,189.32,2014,0,0.053771511285047986
2014-02-11,196.62,10681830.0000,198.97,202.2,192.7,2014,1,0.0003052503052503168
2014-02-12,195.32,5171888.0000,195.78,198.269,194.32,2014,2,-0.0066117383785983695
2014-02-13,199.63,8024948.0000,193.34,202.72,193.25,2014,3,0.022066352652058172
2014-02-14,198.23,6164371.0000,198.1,201.88,197.0,2014,4,-0.00701297400190355
2014-02-18,203.7,9327414.0000,205.244,206.0,201.3601,2014,1,0.027594208747414615
2014-02-19,193.64,16038700.0000,203.7,203.7,193.41,2014,2,-0.049386352479135996
2014-02-20,209.97,18000940.0000,215.01,215.21,206.27,2014,3,0.08433174963850451
2014-02-21,209.6,7817352.0000,211.64,213.98,209.19,2014,4,-0.0017621564985474331
2014-02-24,217.65,8286273.0000,208.76,218.36,208.32,2014,0,0.038406488549618374
2014-02-25,248.0,32648710.0000,230.0,259.2,228.45,2014,1,0.13944406156673556
2014-02-26,253.0,24535130.0000,258.58,265.0,247.5,2014,2,0.020161290322580645
2014-02-27,252.54,17939220.0000,261.25,261.9,248.33,2014,3,-0.0018181818181818496
2014-02-28,244.81,14585150.0000,249.65,252.68,242.55,2014,4,-0.030609012433673834
2014-03-03,250.56,13083260.0000,237.26,251.65,234.99,2014,0,0.023487602630611493
2014-03-04,254.84,8739446.0000,258.48,260.0,252.83,2014,1,0.01708173690932312
2014-03-05,252.66,5932037.0000,256.72,256.99,251.8,2014,2,-0.008554387066394628
2014-03-06,252.94,7356920.0000,254.14,257.5,249.45,2014,3,0.0011082086598591036
2014-03-07,246.21,7806564.0000,252.94,254.85,244.41,2014,4,-0.02660710049814181
2014-03-10,238.84,7725236.0000,242.7,243.0,236.06,2014,0,-0.029933796352707057
2014-03-11,234.41,8792986.0000,236.5,244.6,232.4262,2014,1,-0.018547981912577487
2014-03-12,241.49,9779276.0000,231.5,247.5,231.11,2014,2,0.030203489612217964
2014-03-13,237.79,6223150.0000,243.79,244.19,234.0,2014,3,-0.015321545405606927
2014-03-14,230.97,8254035.0000,235.29,236.9365,228.32,2014,4,-0.028680768745531743
2014-03-17,233.98,5898403.0000,234.95,237.93,230.5,2014,0,0.013031995497250686
2014-03-18,240.04,6231210.0000,236.95,241.5,235.02,2014,1,0.02589964954269597
2014-03-19,235.84,5063434.0000,241.39,241.55,233.51,2014,2,-0.017497083819363393
2014-03-20,234.91,3811031.0000,236.16,239.25,233.36,2014,3,-0.003943351424694737
2014-03-21,228.89,8214207.0000,236.02,236.2,227.5,2014,4,-0.025626835809458987
2014-03-24,220.17,11327430.0000,229.75,229.9,210.27,2014,0,-0.03809690244222115
2014-03-25,220.44,7852386.0000,224.14,227.05,217.9,2014,1,0.0012263251124131817
2014-03-26,212.96,6886279.0000,221.95,222.6,211.3501,2014,2,-0.03393213572854287
2014-03-27,207.32,9493537.0000,212.37,213.6,203.0,2014,3,-0.026483846731780683
2014-03-28,212.37,9666658.0000,212.8,216.72,210.27,2014,4,0.024358479644993304
2014-03-31,208.45,8367389.0000,216.5,216.75,206.39,2014,0,-0.018458350991194687
2014-04-01,216.97,7353574.0000,209.02,218.16,208.58,2014,1,0.04087311105780768
2014-04-02,230.29,10738310.0000,220.0,230.89,218.05,2014,2,0.06139097571092775
2014-04-03,225.4,10908080.0000,230.3,235.73,222.0,2014,3,-0.02123409613964995
2014-04-04,212.225,11320310.0000,226.01,228.27,211.25,2014,4,-0.058451641526175734
2014-04-07,207.52,9828543.0000,205.81,216.2,203.51,2014,0,-0.022169866886559003
2014-04-08,215.46,6874813.0000,210.05,216.4899,206.42,2014,1,0.03826137239784116
2014-04-09,216.93,5139881.0000,216.76,218.45,210.89,2014,2,0.006822612085769975
2014-04-10,204.19,7187816.0000,216.82,217.5,203.7901,2014,3,-0.058728622136173
2014-04-11,203.78,9065584.0000,200.61,207.0,198.6,2014,4,-0.002007933787159002
2014-04-14,198.09,7685123.0000,207.6,208.44,194.41,2014,0,-0.027922269113750113
2014-04-15,193.91,13653420.0000,199.09,199.29,184.32,2014,1,-0.021101519511333267
2014-04-16,199.11,7191261.0000,197.0,199.99,190.82,2014,2,0.02681656438553977
2014-04-17,198.12,5924244.0000,199.61,202.29,194.08,2014,3,-0.004972125960524379
2014-04-21,204.38,5253883.0000,197.08,206.2,194.0,2014,0,0.03159701191197249
